Time,X,Y,h,s
201501,194875,2616146,2.74,0.3
201502,194875,2616146,-3.75,-1.5
201503,194875,2616146,-4.32,-1.8
201504,194875,2616146,-6.01,-2.6
201505,194875,2616146,-7.72,-3.3
201506,194875,2616146,-1.77,-1.8
201507,194875,2616146,1.63,-0.9
201508,194875,2616146,-1.04,-1.4
201509,194875,2616146,0.93,-0.9
201510,194875,2616146,3.26,-0.5
201511,194875,2616146,1.29,-0.8
201512,194875,2616146,5.53,0.1
201601,194875,2616146,6.46,0.3
201602,194875,2616146,-0.06,-1.2
201603,194875,2616146,0.83,-1.2
201604,194875,2616146,1.01,-1
201605,194875,2616146,-1.23,-1.8
201606,194875,2616146,-0.26,-1.6
201607,194875,2616146,3.28,-0.7
201608,194875,2616146,1.71,-1.2
201609,194875,2616146,4.55,-0.3
201610,194875,2616146,5.06,-0.3
201611,194875,2616146,3.81,-0.4
201612,194875,2616146,7.04,0.2
201701,194875,2616146,2.57,-0.9
201702,194875,2616146,-2.71,-2.4
201703,194875,2616146,-3.26,-2.6
201704,194875,2616146,-2.55,-2.5
201705,194875,2616146,-4.7,-3.1
201706,194875,2616146,-0.35,-2.2
201707,194875,2616146,3.46,-1.3
201708,194875,2616146,2.81,-1.5
201709,194875,2616146,2.97,-1.7
201710,194875,2616146,2.14,-1.9
201711,194875,2616146,2.77,-1.7
201712,194875,2616146,5.49,-1
201801,194875,2616146,7.09,-0.9
201802,194875,2616146,3.33,-1.5
201803,194875,2616146,-0.21,-2.6
201804,194875,2616146,-3.92,-3.8
201805,194875,2616146,-6.07,-4.5
201806,194875,2616146,-2.33,-4
201807,194875,2616146,1.27,-3
201808,194875,2616146,-0.47,-3.3
201809,194875,2616146,2.88,-2.5
201810,194875,2616146,1.87,-2.7
201811,194875,2616146,1.78,-2.8
201812,194875,2616146,3.79,-2.3
201901,194875,2616146,5,-2
201902,194875,2616146,-3.82,-4.3
201903,194875,2616146,-4.02,-4.6
201904,194875,2616146,-4.68,-4.6
201905,194875,2616146,-2.13,-4
201906,194875,2616146,2.3,-2.8
201907,194875,2616146,4.19,-2.2
201908,194875,2616146,3.42,-2.4
201909,194875,2616146,6.03,-1.7
201910,194875,2616146,4.64,-2.1
201911,194875,2616146,3.37,-2.6
201912,194875,2616146,5.64,-2
202001,194875,2616146,4.14,-2.3
202002,194875,2616146,0.73,-3.2
202003,194875,2616146,-2.75,-4.1
202004,194875,2616146,-2.55,-4.2
202005,194875,2616146,-5.43,-5
202006,194875,2616146,-0.89,-4
202007,194875,2616146,2.87,-3.3
202008,194875,2616146,-0.22,-3.8
202009,194875,2616146,3.43,-2.8
202010,194875,2616146,-1.02,-4
202011,194875,2616146,-0.02,-3.6
202012,194875,2616146,3.73,-2.9
