Time,X,Y,h,s
201501,175783,2616755,4.12,0.4
201502,175783,2616755,-0.29,-1.2
201503,175783,2616755,-2.82,-2.4
201504,175783,2616755,-2.99,-3.5
201505,175783,2616755,-5.2,-4.4
201506,175783,2616755,-1.64,-3.8
201507,175783,2616755,0.3,-3.5
201508,175783,2616755,4.02,-2.1
201509,175783,2616755,3.97,-1.7
201510,175783,2616755,5.81,-1.5
201511,175783,2616755,3.77,-2.2
201512,175783,2616755,5.64,-1.9
201601,175783,2616755,5.12,-1.7
201602,175783,2616755,2.75,-3
201603,175783,2616755,3.2,-3.1
201604,175783,2616755,4.22,-2.6
201605,175783,2616755,-2.54,-5
201606,175783,2616755,1.25,-4.2
201607,175783,2616755,4.34,-3.4
201608,175783,2616755,4.88,-3.2
201609,175783,2616755,6.13,-2.7
201610,175783,2616755,7.67,-2.4
201611,175783,2616755,5.25,-3.1
201612,175783,2616755,7.22,-2.8
201701,175783,2616755,3.52,-4
201702,175783,2616755,1.19,-4.8
201703,175783,2616755,-1.91,-6.3
201704,175783,2616755,-4.03,-7.4
201705,175783,2616755,-3.67,-7.6
201706,175783,2616755,-3.86,-8.6
201707,175783,2616755,3.62,-6.2
201708,175783,2616755,4.56,-5.9
201709,175783,2616755,5.11,-6.1
201710,175783,2616755,0.52,-7.6
201711,175783,2616755,3.06,-7.2
201712,175783,2616755,3.79,-7.2
201801,175783,2616755,4.64,-7.1
201802,175783,2616755,2.01,-7.9
201803,175783,2616755,-1.61,-9.3
201804,175783,2616755,-3.99,-10.5
201805,175783,2616755,-4.7,-11.5
201806,175783,2616755,-2.32,-12.4
201807,175783,2616755,1.05,-11.4
201808,175783,2616755,3.46,-10.4
201809,175783,2616755,4.47,-9.8
201810,175783,2616755,1.41,-11
201811,175783,2616755,2.25,-11
201812,175783,2616755,2.165,-10.9
201901,175783,2616755,2.47,-11.4
201902,175783,2616755,-1.49,-12.7
201903,175783,2616755,0.73,-12.8
201904,175783,2616755,-2.16,-13.6
201905,175783,2616755,-1.63,-13.6
201906,175783,2616755,2.01,-12.9
201907,175783,2616755,4.52,-11.4
201908,175783,2616755,5.86,-10.6
201909,175783,2616755,7.85,-10.1
201910,175783,2616755,3.11,-11.8
201911,175783,2616755,2.36,-12.2
201912,175783,2616755,4.27,-12.1
202001,175783,2616755,4.37,-11.7
202002,175783,2616755,1.32,-12.9
202003,175783,2616755,-1.17,-13.9
202004,175783,2616755,-3.79,-15.3
202005,175783,2616755,-5.64,-16.1
202006,175783,2616755,-0.18,-15.2
202007,175783,2616755,0.47,-15.1
202008,175783,2616755,1.93,-14.7
202009,175783,2616755,3.13,-14.4
202010,175783,2616755,-0.41,-15.7
202011,175783,2616755,0.46,-15.6
202012,175783,2616755,2.02,-15.3
