Time,X,Y,h,s
201501,192041,2623606,2.05,-0.3
201502,192041,2623606,-0.19,-0.7
201503,192041,2623606,-2.15,-1.3
201504,192041,2623606,-3.27,-2
201505,192041,2623606,-3.83,-2.5
201506,192041,2623606,-0.59,-2.2
201507,192041,2623606,-0.48,-2.5
201508,192041,2623606,-0.52,-2.8
201509,192041,2623606,0.51,-2.3
201510,192041,2623606,1.2,-2.6
201511,192041,2623606,0.68,-2.7
201512,192041,2623606,2.01,-2.1
201601,192041,2623606,1.95,-2.2
201602,192041,2623606,0.11,-2.8
201603,192041,2623606,0.1,-3
201604,192041,2623606,0.88,-3
201605,192041,2623606,-1.04,-3.6
201606,192041,2623606,-0.25,-3.8
201607,192041,2623606,0.55,-3.6
201608,192041,2623606,0.34,-3.6
201609,192041,2623606,1.2,-3.5
201610,192041,2623606,1.91,-3.4
201611,192041,2623606,0.94,-3.7
201612,192041,2623606,2.17,-3.3
201701,192041,2623606,0.92,-3.6
201702,192041,2623606,-1.38,-4.6
201703,192041,2623606,-2.42,-5
201704,192041,2623606,-1.98,-5.4
201705,192041,2623606,-2.29,-5.3
201706,192041,2623606,0.48,-5.1
201707,192041,2623606,0.66,-5.3
201708,192041,2623606,0.59,-5.3
201709,192041,2623606,2.01,-5.2
201710,192041,2623606,0.18,-5.6
201711,192041,2623606,0.9,-5.6
201712,192041,2623606,1.56,-5.4
201801,192041,2623606,1.94,-5.4
201802,192041,2623606,0.69,-5.7
201803,192041,2623606,-1.84,-6.6
201804,192041,2623606,-2.72,-7.2
201805,192041,2623606,-3.74,-7.8
201806,192041,2623606,-4.27,-8.3
201807,192041,2623606,-0.73,-7.6
201808,192041,2623606,-1.49,-7.8
201809,192041,2623606,0.9,-7.4
201810,192041,2623606,-0.99,-7.6
201811,192041,2623606,-0.64,-7.8
201812,192041,2623606,0.22,-7.6
201901,192041,2623606,0.28,-7.5
201902,192041,2623606,-2.83,-8.5
201903,192041,2623606,-2.83,-8.9
201904,192041,2623606,-3.25,-9
201905,192041,2623606,-2.11,-8.8
201906,192041,2623606,-0.54,-8.6
201907,192041,2623606,0.76,-8.5
201908,192041,2623606,0.15,-8.3
201909,192041,2623606,1.9,-8
201910,192041,2623606,-0.14,-8.5
201911,192041,2623606,-0.17,-8.6
201912,192041,2623606,1.29,-8.5
202001,192041,2623606,1.13,-8.2
202002,192041,2623606,-1,-8.8
202003,192041,2623606,-1.98,-9.3
202004,192041,2623606,-1.74,-9.5
202005,192041,2623606,-3.71,-10.2
202006,192041,2623606,-1.32,-9.9
202007,192041,2623606,-0.42,-9.6
202008,192041,2623606,-1.21,-9.9
202009,192041,2623606,-0.19,-9.5
202010,192041,2623606,-2.27,-10.1
202011,192041,2623606,-1.9,-10.4
202012,192041,2623606,-0.22,-9.9
