Time,X,Y,h,s
201501,167842,2604974,1.95,0.3
201502,167842,2604974,0.41,-0.2
201503,167842,2604974,-7.64,-2.4
201504,167842,2604974,-11.24,-4.4
201505,167842,2604974,-13.91,-5.4
201506,167842,2604974,-6.85,-3.8
201507,167842,2604974,-8.4,-4.3
201508,167842,2604974,0.19,-1.9
201509,167842,2604974,3.16,-1
201510,167842,2604974,4.17,-0.6
201511,167842,2604974,2.99,-1.1
201512,167842,2604974,3.41,-1
201601,167842,2604974,4.64,-0.8
201602,167842,2604974,0.06,-2
201603,167842,2604974,-0.89,-2.5
201604,167842,2604974,1.39,-2
201605,167842,2604974,-3.73,-3.4
201606,167842,2604974,-2.5,-3.5
201607,167842,2604974,0.12,-2.8
201608,167842,2604974,1.9,-2.4
201609,167842,2604974,5.11,-1.4
201610,167842,2604974,6.27,-0.9
201611,167842,2604974,5.65,-1.2
201612,167842,2604974,6.78,-0.8
201701,167842,2604974,6.13,-1
201702,167842,2604974,-2.61,-3.4
201703,167842,2604974,-5.42,-4.5
201704,167842,2604974,-10.91,-6.6
201705,167842,2604974,-10.55,-6.6
201706,167842,2604974,-2.99,-5.4
201707,167842,2604974,-0.92,-5
201708,167842,2604974,0.49,-4.5
201709,167842,2604974,2.24,-4
201710,167842,2604974,0.43,-4.6
201711,167842,2604974,1.18,-4.5
201712,167842,2604974,2.14,-4.3
201801,167842,2604974,2.85,-4.3
201802,167842,2604974,2.51,-4.2
201803,167842,2604974,-7.11,-7
201804,167842,2604974,-11.54,-8.5
201805,167842,2604974,-13.44,-9.8
201806,167842,2604974,-9.63,-10
201807,167842,2604974,-3.63,-8.3
201808,167842,2604974,-1.99,-7.7
201809,167842,2604974,2.4,-6.4
201810,167842,2604974,1.69,-6.7
201811,167842,2604974,1.06,-7
201812,167842,2604974,2.13,-6.8
201901,167842,2604974,2.38,-6.8
201902,167842,2604974,-4.83,-8.6
201903,167842,2604974,-6.89,-9.4
201904,167842,2604974,-8.1,-9.8
201905,167842,2604974,-4.99,-8.9
201906,167842,2604974,-1.11,-7.9
201907,167842,2604974,1.38,-6.9
201908,167842,2604974,3.5,-6.2
201909,167842,2604974,5.78,-5.5
201910,167842,2604974,3.06,-6.3
201911,167842,2604974,2.04,-6.9
201912,167842,2604974,2.7,-6.8
202001,167842,2604974,5.24,-5.7
202002,167842,2604974,-0.15,-7.2
202003,167842,2604974,-5.06,-8.9
202004,167842,2604974,-6.9,-9.6
202005,167842,2604974,-12.25,-11.5
202006,167842,2604974,-5.1,-10
202007,167842,2604974,-3.26,-9.4
202008,167842,2604974,-0.72,-8.6
202009,167842,2604974,2.3,-7.5
202010,167842,2604974,0.03,-8.6
202011,167842,2604974,-0.8,-8.6
202012,167842,2604974,0.16,-8.8
