Time,X,Y,h,s
201501,163506,2614756,1.69,0
201502,163506,2614756,1.97,-0.2
201503,163506,2614756,1.08,-0.4
201504,163506,2614756,-1.11,-1.1
201505,163506,2614756,-2.18,-1.6
201506,163506,2614756,0.38,-0.8
201507,163506,2614756,-0.03,-1.2
201508,163506,2614756,2.86,-0.3
201509,163506,2614756,4.71,-0.1
201510,163506,2614756,5.03,0
201511,163506,2614756,3.39,-0.3
201512,163506,2614756,3.28,-0.4
201601,163506,2614756,4.31,-0.1
201602,163506,2614756,4.79,0.1
201603,163506,2614756,4.55,0
201604,163506,2614756,5.02,0.2
201605,163506,2614756,3.58,-0.3
201606,163506,2614756,2.69,-0.3
201607,163506,2614756,1.9,-1
201608,163506,2614756,4.13,-0.4
201609,163506,2614756,5.83,-0.1
201610,163506,2614756,6.56,0.2
201611,163506,2614756,4.73,-0.4
201612,163506,2614756,5.38,-0.1
201701,163506,2614756,4.83,-0.4
201702,163506,2614756,3.64,-0.7
201703,163506,2614756,2.68,-1.1
201704,163506,2614756,0.56,-1.6
201705,163506,2614756,0.1,-1.9
201706,163506,2614756,1.96,-1.3
201707,163506,2614756,2.63,-1.5
201708,163506,2614756,3.59,-1.2
201709,163506,2614756,4.16,-1.4
201710,163506,2614756,2.33,-2.2
201711,163506,2614756,1.71,-2.2
201712,163506,2614756,1.84,-2.1
201801,163506,2614756,2.76,-1.9
201802,163506,2614756,1.89,-2
201803,163506,2614756,1.03,-2.6
201804,163506,2614756,-0.53,-3
201805,163506,2614756,-1.54,-3.5
201806,163506,2614756,-0.74,-3.4
201807,163506,2614756,1.52,-2.8
201808,163506,2614756,2.04,-2.9
201809,163506,2614756,5.02,-2
201810,163506,2614756,3.24,-2.7
201811,163506,2614756,2.17,-2.9
201812,163506,2614756,2.84,-2.8
201901,182075,2613831,3.04,-2.9
201902,182075,2613831,2.98,-2.9
201903,182075,2613831,2.52,-2.8
201904,182075,2613831,1.66,-2.9
201905,182075,2613831,2.58,-2.7
201906,182075,2613831,3.45,-2.5
201907,182075,2613831,4.92,-2.2
201908,182075,2613831,5.9,-1.8
201909,182075,2613831,6.98,-1.6
201910,182075,2613831,4.1,-2.7
201911,182075,2613831,2.41,-3.3
201912,182075,2613831,1.97,-3
202001,182075,2613831,3.14,-2.8
202002,182075,2613831,4.05,-2.6
202003,182075,2613831,2.49,-3.1
202004,182075,2613831,1.08,-3.4
202005,182075,2613831,-0.73,-4
202006,182075,2613831,1.13,-3.3
202007,182075,2613831,1.51,-3.2
202008,182075,2613831,2.29,-3.1
202009,182075,2613831,3.22,-2.6
202010,182075,2613831,1.06,-3.7
202011,182075,2613831,0.05,-4
202012,182075,2613831,0.3,-4
