Time,X,Y,h,s
201501,179250,2624491,1.22,0.3
201502,179250,2624491,1.05,0
201503,179250,2624491,0.09,-1.2
201504,179250,2624491,-1.54,-2
201505,179250,2624491,-2.15,-2.3
201506,179250,2624491,-1.11,-1.9
201507,179250,2624491,-1.41,-2.3
201508,179250,2624491,0.32,-1.8
201509,179250,2624491,2.69,-1.4
201510,179250,2624491,2.63,-1.4
201511,179250,2624491,2.37,-2
201512,179250,2624491,1.83,-1.9
201601,179250,2624491,3.49,-1.7
201602,179250,2624491,3.65,-2.2
201603,179250,2624491,3.1,-2.5
201604,179250,2624491,2.66,-2.6
201605,179250,2624491,2,-3.4
201606,179250,2624491,1.51,-3.3
201607,179250,2624491,1.38,-3.2
201608,179250,2624491,1.55,-3.2
201609,179250,2624491,3.06,-3.2
201610,179250,2624491,4.05,-2.8
201611,179250,2624491,3.82,-3.3
201612,179250,2624491,3.97,-3
201701,179250,2624491,3.69,-3.4
201702,179250,2624491,3.43,-3.8
201703,179250,2624491,2.42,-4.6
201704,179250,2624491,0.96,-5.5
201705,179250,2624491,0.09,-5.6
201706,179250,2624491,-0.88,-6.4
201707,179250,2624491,1.6,-5
201708,179250,2624491,1.84,-5.5
201709,179250,2624491,2.78,-5.4
201710,179250,2624491,2.25,-6.2
201711,179250,2624491,1.38,-6.3
201712,179250,2624491,2.03,-6.1
201801,179250,2624491,2.2,-6
201802,179250,2624491,2.85,-6.1
201803,179250,2624491,2.11,-7.2
201804,179250,2624491,0.99,-8
201805,179250,2624491,-0.64,-9
201806,179250,2624491,-2.4,-9.3
201807,179250,2624491,0.05,-8.9
201808,179250,2624491,0.03,-8.9
201809,179250,2624491,3,-8.4
201810,179250,2624491,2.32,-9.1
201811,179250,2624491,1.23,-9.4
201812,179250,2624491,1.03,-9.3
201901,179250,2624491,1.33,-9.2
201902,179250,2624491,0.93,-9.7
201903,179250,2624491,0.15,-10.4
201904,179250,2624491,-0.48,-10.7
201905,179250,2624491,-0.86,-10.5
201906,179250,2624491,-0.5,-10.3
201907,179250,2624491,1.96,-9.9
201908,179250,2624491,3.31,-9.7
201909,179250,2624491,4.54,-9.6
201910,179250,2624491,3.5,-10.4
201911,179250,2624491,2.66,-10.8
201912,179250,2624491,1.67,-10.6
202001,179250,2624491,3.41,-9.9
202002,179250,2624491,3.11,-10.5
202003,179250,2624491,2.33,-11.3
202004,179250,2624491,0.81,-11.9
202005,179250,2624491,-0.37,-12.8
202006,179250,2624491,-1.18,-12.2
202007,179250,2624491,-1.01,-12.5
202008,179250,2624491,-1.04,-12.5
202009,179250,2624491,1.41,-12
202010,179250,2624491,0.56,-13.3
202011,179250,2624491,-0.47,-13.4
202012,179250,2624491,-0.74,-13.1
