Time,X,Y,s,h
201501,171859,2631894,0.3,1.91
201502,171859,2631894,0.1,0.77
201503,171859,2631894,0,1.12
201504,171859,2631894,-0.7,0.49
201505,171859,2631894,-1.1,-1.63
201506,171859,2631894,0.2,2.45
201507,171859,2631894,-0.6,0.86
201508,171859,2631894,0.1,3.95
201509,171859,2631894,0.1,3.82
201510,171859,2631894,0.4,4
201511,171859,2631894,-0.4,2.45
201512,171859,2631894,-0.2,2.53
201601,171859,2631894,0,4.45
201602,171859,2631894,-0.3,3.03
201603,171859,2631894,-0.1,4.81
201604,171859,2631894,0.4,5.15
201605,171859,2631894,-0.1,3.79
201606,171859,2631894,0.1,4.23
201607,171859,2631894,-0.3,3.02
201608,171859,2631894,-0.8,1.83
201609,171859,2631894,0.2,5.34
201610,171859,2631894,0.2,5.07
201611,171859,2631894,-0.5,3.08
201612,171859,2631894,-0.4,3.18
201701,171859,2631894,-0.3,4.02
201702,171859,2631894,-1.1,1.88
201703,171859,2631894,-1,2.12
201704,171859,2631894,-1.5,0.51
201705,171859,2631894,-1.7,0.39
201706,171859,2631894,-0.3,4.69
201707,171859,2631894,-1.7,2.33
201708,171859,2631894,-0.8,4.52
201709,171859,2631894,-1.7,2.23
201710,171859,2631894,-2.3,0.69
201711,171859,2631894,-2.1,1
201712,171859,2631894,-1.9,2.43
201801,171859,2631894,-1.8,2.36
201802,171859,2631894,-2.9,-1.22
201803,171859,2631894,-2.5,2.18
201804,171859,2631894,-2.9,0.49
201805,171859,2631894,-3.1,0.65
201806,171859,2631894,-3.8,-0.62
201807,171859,2631894,-2.8,2.02
201808,171859,2631894,-3.1,1.6
201809,171859,2631894,-2.2,4.58
201810,171859,2631894,-2.8,2.12
201811,171859,2631894,-2.9,2.62
201812,171859,2631894,-2.8,3.04
201901,171859,2631894,-2.6,3.33
201902,171859,2631894,-2.7,3.44
201903,171859,2631894,-2.9,3.4
201904,171859,2631894,-3,2.08
201905,171859,2631894,-2.6,2.67
201906,171859,2631894,-2.2,4.79
201907,171859,2631894,-2,5.34
201908,171859,2631894,-2.3,4.44
201909,171859,2631894,-1.9,5.95
201910,171859,2631894,-2.9,3.12
201911,171859,2631894,-3.2,2.84
201912,171859,2631894,-3,3.58
202001,171859,2631894,-2.2,5.59
202002,171859,2631894,-2.5,4.78
202003,171859,2631894,-2.8,3.79
202004,171859,2631894,-3.3,2.26
202005,171859,2631894,-4,0.47
202006,171859,2631894,-2.9,3.77
202007,171859,2631894,-3.6,2.4
202008,171859,2631894,-3.6,1.98
202009,171859,2631894,-3.2,3.19
202010,171859,2631894,-4,1.12
202011,171859,2631894,-4,1.63
202012,171859,2631894,-3.7,1.85
