Time,X,Y,h,s
201501,179485,2616803,1.44,-0.2
201502,179485,2616803,-3.53,-2.1
201503,179485,2616803,-5.71,-3.1
201504,179485,2616803,-6.97,-4.7
201505,179485,2616803,-6.97,-5.5
201506,179485,2616803,-3,-4.5
201507,179485,2616803,-1.51,-4.2
201508,179485,2616803,2.49,-3.1
201509,179485,2616803,1.77,-3.4
201510,179485,2616803,4.27,-2.6
201511,179485,2616803,1.84,-3.7
201512,179485,2616803,4.5,-3.3
201601,179485,2616803,4.08,-3.7
201602,179485,2616803,0.34,-4.7
201603,179485,2616803,1.21,-4.5
201604,179485,2616803,3.16,-3.9
201605,179485,2616803,-2.07,-5.8
201606,179485,2616803,0.26,-5.4
201607,179485,2616803,-0.14,-6
201608,179485,2616803,3,-5.1
201609,179485,2616803,3.17,-5.2
201610,179485,2616803,5.62,-4.3
201611,179485,2616803,3.39,-5.3
201612,179485,2616803,5.41,-5
201701,179485,2616803,0.51,-6.7
201702,179485,2616803,-2.32,-7.5
201703,179485,2616803,-4.55,-8.5
201704,179485,2616803,-4.93,-9.5
201705,179485,2616803,-6.35,-10.5
201706,179485,2616803,-1.46,-9.4
201707,179485,2616803,2.79,-8.6
201708,179485,2616803,3.34,-7.9
201709,179485,2616803,2.94,-8.8
201710,179485,2616803,-1.96,-10.7
201711,179485,2616803,-0.41,-10.5
201712,179485,2616803,3.22,-9.8
201801,179485,2616803,2.77,-10.1
201802,179485,2616803,-0.54,-11.3
201803,179485,2616803,-4,-12.4
201804,179485,2616803,-6.25,-13.8
201805,179485,2616803,-6.93,-14.6
201806,179485,2616803,-3.9,-15.2
201807,179485,2616803,0.33,-14.1
201808,179485,2616803,-0.21,-14.6
201809,179485,2616803,2.57,-13.4
201810,179485,2616803,-0.71,-14.8
201811,179485,2616803,0.45,-14.9
201812,179485,2616803,1.99,-14.6
201901,179485,2616803,-1.18,-16
201902,179485,2616803,-5.43,-17.3
201903,179485,2616803,-1.43,-16.3
201904,179485,2616803,-5.49,-18.1
201905,179485,2616803,-3.11,-17.4
201906,179485,2616803,0.22,-16.3
201907,179485,2616803,3.17,-15.4
201908,179485,2616803,4.04,-14.6
201909,179485,2616803,6.66,-14
201910,179485,2616803,1.58,-16.2
201911,179485,2616803,0.37,-16.9
201912,179485,2616803,3.3,-16.4
202001,179485,2616803,1.73,-17
202002,179485,2616803,-0.48,-17.6
202003,179485,2616803,-3.48,-18.8
202004,179485,2616803,-6.01,-20.3
202005,179485,2616803,-7.75,-21.2
202006,179485,2616803,-1.37,-19.5
202007,179485,2616803,-0.12,-19.7
202008,179485,2616803,0.28,-19.5
202009,179485,2616803,1.21,-19.3
202010,179485,2616803,-2.53,-21
202011,179485,2616803,-1.11,-20.9
202012,179485,2616803,0.68,-20.7
