Time,X,Y,h,s
201501,183652,2617397,2.45,0.5
201502,183652,2617397,-3.7,-2.1
201503,183652,2617397,-5.31,-3.7
201504,183652,2617397,-7.37,-5.2
201505,183652,2617397,-4.11,-6.2
201506,183652,2617397,-2.45,-5.4
201507,183652,2617397,-1.09,-5.3
201508,183652,2617397,1.44,-4.7
201509,183652,2617397,0.91,-4.8
201510,183652,2617397,3.41,-3.9
201511,183652,2617397,0.99,-4.9
201512,183652,2617397,4.04,-3.9
201601,183652,2617397,4.57,-4
201602,183652,2617397,0.7,-5.6
201603,183652,2617397,1.16,-5.9
201604,183652,2617397,1.11,-6.1
201605,183652,2617397,-1.96,-7.5
201606,183652,2617397,0.33,-7.4
201607,183652,2617397,3.14,-6.4
201608,183652,2617397,1.74,-7
201609,183652,2617397,3.26,-6.6
201610,183652,2617397,5.52,-6.1
201611,183652,2617397,2.36,-7.1
201612,183652,2617397,5.59,-6
201701,183652,2617397,0.96,-7.8
201702,183652,2617397,-3.39,-9.9
201703,183652,2617397,-4.49,-10.9
201704,183652,2617397,-4.42,-11.9
201705,183652,2617397,-5.73,-12.6
201706,183652,2617397,-1.45,-12.5
201707,183652,2617397,3.04,-10.9
201708,183652,2617397,3.21,-11
201709,183652,2617397,3.79,-11.2
201710,183652,2617397,0.68,-12.4
201711,183652,2617397,1.67,-12.2
201712,183652,2617397,3.38,-11.7
201801,183652,2617397,3.51,-11.9
201802,183652,2617397,1.2,-12.6
201803,183652,2617397,-3.13,-14.8
201804,183652,2617397,-5.11,-15.8
201805,183652,2617397,-7.21,-17.8
201806,183652,2617397,-8.18,-20.3
201807,183652,2617397,0.93,-17.4
201808,183652,2617397,-0.53,-18.1
201809,183652,2617397,3.33,-16.9
201810,183652,2617397,-1.08,-18.5
201811,183652,2617397,0.14,-18.3
201812,183652,2617397,2.1,-17.8
201901,183652,2617397,-0.09,-18.7
201902,183652,2617397,-4.82,-21
201903,183652,2617397,-4.57,-21.5
201904,183652,2617397,-5.4,-22
201905,183652,2617397,-2.8,-21.6
201906,183652,2617397,0.89,-20.3
201907,183652,2617397,2.82,-19.4
201908,183652,2617397,3.04,-19.3
201909,183652,2617397,5.7,-18.1
201910,183652,2617397,0.78,-20
201911,183652,2617397,-0.41,-20.8
201912,183652,2617397,2.68,-19.8
202001,183652,2617397,2.16,-19.8
202002,183652,2617397,-0.91,-21.1
202003,183652,2617397,-3.71,-22.3
202004,183652,2617397,-5.71,-23.6
202005,183652,2617397,-7.29,-24.4
202006,183652,2617397,-0.9,-23.2
202007,183652,2617397,-0.03,-22.9
202008,183652,2617397,-0.63,-23.1
202009,183652,2617397,1.31,-22.6
202010,183652,2617397,-3.15,-24.5
202011,183652,2617397,-1.97,-24.2
202012,183652,2617397,0.48,-23.8
