Time,X,Y,h,s
201501,184142,2611723,4.64,0.9
201502,184142,2611723,-0.61,-1.2
201503,184142,2611723,-2.3,-3.2
201504,184142,2611723,-4.04,-4.4
201505,184142,2611723,-4.73,-5.4
201506,184142,2611723,-2.26,-4.5
201507,184142,2611723,-0.89,-3.9
201508,184142,2611723,-0.33,-3.7
201509,184142,2611723,1.53,-3.7
201510,184142,2611723,2.61,-3.1
201511,184142,2611723,1.99,-3.8
201512,184142,2611723,3.84,-3.3
201601,184142,2611723,5.62,-2.7
201602,184142,2611723,2.62,-4.3
201603,184142,2611723,1.63,-4.5
201604,184142,2611723,3.08,-4.3
201605,184142,2611723,0.5,-6.2
201606,184142,2611723,-0.07,-6.2
201607,184142,2611723,2.38,-5.4
201608,184142,2611723,1.61,-5.8
201609,184142,2611723,3.66,-5.4
201610,184142,2611723,4.32,-4.9
201611,184142,2611723,3.18,-5.8
201612,184142,2611723,6.39,-4.8
201701,184142,2611723,3.85,-6.4
201702,184142,2611723,-0.2,-8.4
201703,184142,2611723,-1.75,-9.3
201704,184142,2611723,-2.79,-10.5
201705,184142,2611723,-3.05,-11
201706,184142,2611723,-2.44,-10.8
201707,184142,2611723,1.77,-9.5
201708,184142,2611723,1.61,-9.6
201709,184142,2611723,3.39,-9.4
201710,184142,2611723,0.12,-11.1
201711,184142,2611723,0.41,-11.2
201712,184142,2611723,2.79,-10.4
201801,184142,2611723,4.85,-10
201802,184142,2611723,2.2,-11.4
201803,184142,2611723,-0.19,-12.7
201804,184142,2611723,-2.06,-13.9
201805,184142,2611723,-4.64,-15.5
201806,184142,2611723,-5.23,-17.2
201807,184142,2611723,-1.22,-15.6
201808,184142,2611723,-1.52,-15.9
201809,184142,2611723,1.76,-14.7
201810,184142,2611723,-0.55,-16.1
201811,184142,2611723,-0.23,-16.4
201812,184142,2611723,1.08,-15.7
201901,184142,2611723,2.98,-15.7
201902,184142,2611723,-1.92,-18
201903,184142,2611723,-1.79,-17.9
201904,184142,2611723,-2.33,-19.1
201905,184142,2611723,-2.3,-18.6
201906,184142,2611723,0.65,-17.6
201907,184142,2611723,2.88,-16.6
201908,184142,2611723,4.09,-16.3
201909,184142,2611723,5.93,-15.4
201910,184142,2611723,3.49,-17
201911,184142,2611723,1.81,-17.9
201912,184142,2611723,3.81,-17.4
202001,184142,2611723,5.31,-17.5
202002,184142,2611723,2.57,-18.4
202003,184142,2611723,0.26,-19.6
202004,184142,2611723,-1.12,-20.4
202005,184142,2611723,-3.46,-22.2
202006,184142,2611723,-1.87,-21.6
202007,184142,2611723,1.2,-20.3
202008,184142,2611723,-0.16,-21.2
202009,184142,2611723,2.53,-20.1
202010,184142,2611723,-0.82,-21.8
202011,184142,2611723,-1.61,-22
202012,184142,2611723,1.98,-21.1
