Time,X,Y,h,s
201501,179785,2632016,1.51,0
201502,179785,2632016,1.1,-0.1
201503,179785,2632016,-2.07,-1.5
201504,179785,2632016,-2.97,-2.2
201505,179785,2632016,-3.66,-2.5
201506,179785,2632016,0.45,-1.6
201507,179785,2632016,-1.58,-2.3
201508,179785,2632016,1.61,-1.6
201509,179785,2632016,1.8,-1.2
201510,179785,2632016,2.49,-1
201511,179785,2632016,0.86,-1.4
201512,179785,2632016,2.5,-1.4
201601,179785,2632016,3.05,-1.2
201602,179785,2632016,1.09,-1.6
201603,179785,2632016,1.48,-1.7
201604,179785,2632016,2.07,-1.5
201605,179785,2632016,-0.19,-2.2
201606,179785,2632016,1.22,-2
201607,179785,2632016,1.31,-2
201608,179785,2632016,0.57,-2.4
201609,179785,2632016,1.85,-2.1
201610,179785,2632016,2.88,-1.9
201611,179785,2632016,1.3,-2.3
201612,179785,2632016,2.29,-2.2
201701,179785,2632016,2.16,-2.2
201702,179785,2632016,-0.57,-3.3
201703,179785,2632016,-1.96,-4.1
201704,179785,2632016,-1.98,-4.2
201705,179785,2632016,-2.34,-4.6
201706,179785,2632016,-0.11,-3.9
201707,179785,2632016,0.79,-3.5
201708,179785,2632016,1.53,-3.5
201709,179785,2632016,0.06,-4.2
201710,179785,2632016,-0.01,-4.6
201711,179785,2632016,0.94,-4.6
201712,179785,2632016,1.28,-4.7
201801,179785,2632016,2.14,-4.6
201802,179785,2632016,1.88,-4.4
201803,179785,2632016,-1.45,-5.9
201804,179785,2632016,-3.12,-6.4
201805,179785,2632016,-3.09,-6.9
201806,179785,2632016,-2.08,-7.2
201807,179785,2632016,-0.61,-6.7
201808,179785,2632016,-0.42,-6.5
201809,179785,2632016,1.46,-6
201810,179785,2632016,-0.93,-6.5
201811,179785,2632016,-0.06,-6.8
201812,179785,2632016,1.13,-6.5
201901,179785,2632016,1.13,-6.5
201902,179785,2632016,-0.85,-7
201903,179785,2632016,-2.3,-7.6
201904,179785,2632016,-2.63,-8
201905,179785,2632016,-1.15,-7.5
201906,179785,2632016,0.48,-7.2
201907,179785,2632016,1.59,-6.9
201908,179785,2632016,1.15,-6.8
201909,179785,2632016,2.71,-6.3
201910,179785,2632016,-0.28,-7.4
201911,179785,2632016,-0.94,-7.7
201912,179785,2632016,1.17,-7.7
202001,179785,2632016,2.5,-7
202002,179785,2632016,0.68,-7.5
202003,179785,2632016,-2.14,-8.4
202004,179785,2632016,-1.81,-8.9
202005,179785,2632016,-4.69,-9.6
202006,179785,2632016,-1.5,-9.2
202007,179785,2632016,-1.82,-9.1
202008,179785,2632016,-1.18,-9
202009,179785,2632016,-0.51,-8.9
202010,179785,2632016,-2.33,-9.6
202011,179785,2632016,-1.39,-9.6
202012,179785,2632016,-0.57,-9.5
