Time,X,Y,h,s
201501,173088,2608157,3,0
201502,173088,2608157,-2.14,-1.1
201503,173088,2608157,-7.3,-3
201504,173088,2608157,-9.65,-5
201505,173088,2608157,-11.54,-6
201506,173088,2608157,-7.31,-5.5
201507,173088,2608157,-6.84,-5.4
201508,173088,2608157,3.3,-3.6
201509,173088,2608157,2.26,-2.5
201510,173088,2608157,4.41,-2
201511,173088,2608157,2.76,-2.1
201512,173088,2608157,4.19,-1.7
201601,173088,2608157,5.13,-1.7
201602,173088,2608157,0.4,-2.9
201603,173088,2608157,-0.14,-3.2
201604,173088,2608157,1.06,-3.1
201605,173088,2608157,-4.78,-4.7
201606,173088,2608157,-3.71,-5
201607,173088,2608157,-0.56,-4.3
201608,173088,2608157,1.47,-3.7
201609,173088,2608157,3.84,-3.1
201610,173088,2608157,6.03,-2.3
201611,173088,2608157,4.82,-2.7
201612,173088,2608157,6.45,-2.2
201701,173088,2608157,3.43,-2.9
201702,173088,2608157,-2.82,-4.8
201703,173088,2608157,-7.73,-6.5
201704,173088,2608157,-11.04,-8.3
201705,173088,2608157,-11.88,-9.1
201706,173088,2608157,-3.79,-8
201707,173088,2608157,-1.49,-7.8
201708,173088,2608157,-0.05,-7.2
201709,173088,2608157,2.74,-6.5
201710,173088,2608157,-0.74,-7.1
201711,173088,2608157,-0.18,-7.1
201712,173088,2608157,1.55,-7
201801,173088,2608157,3.03,-6.8
201802,173088,2608157,0.96,-7
201803,173088,2608157,-7.31,-9.7
201804,173088,2608157,-10.5,-10.9
201805,173088,2608157,-12.54,-12.4
201806,173088,2608157,-9.09,-13.9
201807,173088,2608157,-4.27,-12.4
201808,173088,2608157,-2.5,-11.6
201809,173088,2608157,1.83,-10.2
201810,173088,2608157,-0.13,-10.5
201811,173088,2608157,0.73,-10.5
201812,173088,2608157,1.81,-10.3
201901,173088,2608157,1.42,-10.5
201902,173088,2608157,-7.09,-12.7
201903,173088,2608157,-7.47,-13.3
201904,173088,2608157,-9.25,-14
201905,173088,2608157,-7.01,-13.7
201906,173088,2608157,-2.86,-12.8
201907,173088,2608157,1,-11.5
201908,173088,2608157,4.12,-10.8
201909,173088,2608157,6.47,-9.7
201910,173088,2608157,3.17,-10.3
201911,173088,2608157,1.71,-10.8
201912,173088,2608157,2.95,-10.7
202001,173088,2608157,2.26,-10.6
202002,173088,2608157,-1.62,-11.9
202003,173088,2608157,-6.56,-13.3
202004,173088,2608157,-8.09,-14.2
202005,173088,2608157,-13.36,-16.3
202006,173088,2608157,-6.19,-15.2
202007,173088,2608157,-3.43,-14.4
202008,173088,2608157,-1.23,-13.9
202009,173088,2608157,1.6,-12.8
202010,173088,2608157,-1.58,-13.3
202011,173088,2608157,-2.35,-13.5
202012,173088,2608157,-0.93,-13.9
