Time,X,Y,h,s
201501,187772,2620611,2.64,-0.3
201502,187772,2620611,-2.36,-1.5
201503,187772,2620611,-4.18,-2.5
201504,187772,2620611,-4.16,-3.3
201505,187772,2620611,-5.46,-4.2
201506,187772,2620611,-2.19,-3.6
201507,187772,2620611,-0.44,-3.3
201508,187772,2620611,0.37,-3
201509,187772,2620611,0.83,-2.8
201510,187772,2620611,2.07,-2.6
201511,187772,2620611,0.55,-2.9
201512,187772,2620611,3.27,-2.5
201601,187772,2620611,4.53,-2.3
201602,187772,2620611,1.09,-3.6
201603,187772,2620611,0.79,-4
201604,187772,2620611,2.67,-3.5
201605,187772,2620611,-1.28,-4.5
201606,187772,2620611,0.41,-4.9
201607,187772,2620611,1.72,-4.5
201608,187772,2620611,1.71,-4.8
201609,187772,2620611,3.06,-4.6
201610,187772,2620611,4.18,-4
201611,187772,2620611,2.15,-4.5
201612,187772,2620611,4.81,-4.8
201701,187772,2620611,2.14,-4.8
201702,187772,2620611,-1.24,-5.8
201703,187772,2620611,-3.03,-7.3
201704,187772,2620611,-2.39,-7.2
201705,187772,2620611,-4.39,-8.1
201706,187772,2620611,-0.39,-7.5
201707,187772,2620611,2.91,-6.7
201708,187772,2620611,2.73,-6.9
201709,187772,2620611,3.54,-6.5
201710,187772,2620611,-0.25,-7.7
201711,187772,2620611,0.21,-7.9
201712,187772,2620611,3.48,-7.3
201801,187772,2620611,4.12,-7.3
201802,187772,2620611,1.32,-7.7
201803,187772,2620611,-2.02,-9.1
201804,187772,2620611,-3.74,-10
201805,187772,2620611,-5.11,-10.7
201806,187772,2620611,-2.52,-11.5
201807,187772,2620611,1.08,-10.2
201808,187772,2620611,-0.45,-10.5
201809,187772,2620611,3.01,-10
201810,187772,2620611,-0.35,-11.1
201811,187772,2620611,-0.17,-11.2
201812,187772,2620611,1.87,-10.5
201901,187772,2620611,1.48,-10.6
201902,187772,2620611,-3.31,-12.1
201903,187772,2620611,-3.31,-12.6
201904,187772,2620611,-3.9,-12.9
201905,187772,2620611,-1.8,-12.6
201906,187772,2620611,0.84,-12.1
201907,187772,2620611,2.5,-11.4
201908,187772,2620611,1.94,-11.4
201909,187772,2620611,4.24,-10.8
201910,187772,2620611,0.82,-11.6
201911,187772,2620611,-0.38,-12.3
201912,187772,2620611,2.45,-11.9
202001,187772,2620611,2.48,-11.7
202002,187772,2620611,-0.44,-12.6
202003,187772,2620611,-2.94,-13.7
202004,187772,2620611,-4.39,-14.6
202005,187772,2620611,-5.87,-15.1
202006,187772,2620611,-0.52,-14.2
202007,187772,2620611,0.39,-13.7
202008,187772,2620611,-1.03,-14.3
202009,187772,2620611,0.76,-13.6
202010,187772,2620611,-3,-14.8
202011,187772,2620611,-2.39,-15
202012,187772,2620611,0.55,-14.6
