Time,X,Y,h,s
201501,170721,2626356,2.3,0.1
201502,170721,2626356,1.03,-0.1
201503,170721,2626356,1.8,0
201504,170721,2626356,-0.82,-1
201505,170721,2626356,-2.05,-1.4
201506,170721,2626356,2.99,0.1
201507,170721,2626356,1.82,-0.7
201508,170721,2626356,6.2,0.8
201509,170721,2626356,5.48,0.7
201510,170721,2626356,5.81,0.7
201511,170721,2626356,2.91,-0.5
201512,170721,2626356,2.82,-0.5
201601,170721,2626356,5.61,0.2
201602,170721,2626356,5.62,0
201603,170721,2626356,5.18,0
201604,170721,2626356,6.12,0.4
201605,170721,2626356,2.91,-0.6
201606,170721,2626356,4.9,-0.2
201607,170721,2626356,5.32,-0.2
201608,170721,2626356,3.46,-0.9
201609,170721,2626356,6.4,0
201610,170721,2626356,7.14,0.5
201611,170721,2626356,2.95,-1.1
201612,170721,2626356,4.5,-0.7
201701,170721,2626356,4.54,-0.8
201702,170721,2626356,1.57,-1.8
201703,170721,2626356,1.93,-1.8
201704,170721,2626356,-0.18,-2.8
201705,170721,2626356,-1.35,-3.1
201706,170721,2626356,5.94,-1
201707,170721,2626356,2.41,-2.5
201708,170721,2626356,5.1,-1.7
201709,170721,2626356,4.42,-2.1
201710,170721,2626356,-0.14,-3.6
201711,170721,2626356,0.17,-3.8
201712,170721,2626356,2.82,-3
201801,170721,2626356,4.19,-2.7
201802,170721,2626356,-1.48,-4.6
201803,170721,2626356,1.33,-3.9
201804,170721,2626356,-1.81,-5
201805,170721,2626356,-0.56,-4.9
201806,170721,2626356,-1.73,-5.7
201807,170721,2626356,1.84,-4.5
201808,170721,2626356,1.85,-4.9
201809,170721,2626356,5.49,-3.5
201810,170721,2626356,1.62,-4.8
201811,170721,2626356,1.57,-5
201812,170721,2626356,2.68,-4.7
201901,170721,2626356,3.84,-4.5
201902,170721,2626356,3.44,-4.7
201903,170721,2626356,2.9,-4.8
201904,170721,2626356,-0.03,-5.4
201905,170721,2626356,2.56,-4.7
201906,170721,2626356,4.95,-4
201907,170721,2626356,6.39,-3.6
201908,170721,2626356,5.08,-4.2
201909,170721,2626356,6.74,-3.5
201910,170721,2626356,2.15,-5.2
201911,170721,2626356,1.76,-5.6
201912,170721,2626356,3.99,-5.3
202001,170721,2626356,6.45,-4.4
202002,170721,2626356,4.71,-4.7
202003,170721,2626356,2.27,-5.7
202004,170721,2626356,0.89,-6.3
202005,170721,2626356,-1.29,-7.1
202006,170721,2626356,4.26,-5.4
202007,170721,2626356,2.46,-6.1
202008,170721,2626356,2.79,-6.2
202009,170721,2626356,3.74,-5.9
202010,170721,2626356,-0.64,-7.2
202011,170721,2626356,0.81,-7.2
202012,170721,2626356,1.46,-7
