Time,X,Y,h,s
201501,182075,2613831,2.81,0.2
201502,182075,2613831,-2.82,-0.6
201503,182075,2613831,-5.07,-1.6
201504,182075,2613831,-6.85,-2.7
201505,182075,2613831,-6.97,-3.3
201506,182075,2613831,-2.37,-3.2
201507,182075,2613831,-1.72,-2.5
201508,182075,2613831,1.14,-1.9
201509,182075,2613831,1.95,-1.4
201510,182075,2613831,3.6,-1.4
201511,182075,2613831,1.53,-2.2
201512,182075,2613831,4.25,-1.6
201601,182075,2613831,4.79,-1.6
201602,182075,2613831,1.52,-2.7
201603,182075,2613831,0.73,-3.1
201604,182075,2613831,2.8,-2.8
201605,182075,2613831,-1.72,-4.1
201606,182075,2613831,-0.61,-4.1
201607,182075,2613831,2.88,-4
201608,182075,2613831,2.6,-3.5
201609,182075,2613831,4.08,-3.4
201610,182075,2613831,5.37,-3
201611,182075,2613831,3.84,-3.5
201612,182075,2613831,6.06,-2.9
201701,182075,2613831,1.62,-4.3
201702,182075,2613831,-2.59,-5.8
201703,182075,2613831,-4.19,-6.5
201704,182075,2613831,-4.33,-7.1
201705,182075,2613831,-5.23,-7.9
201706,182075,2613831,-2.16,-7.6
201707,182075,2613831,2.8,-6.6
201708,182075,2613831,2.85,-6.7
201709,182075,2613831,3.96,-6.5
201710,182075,2613831,-1.09,-7.9
201711,182075,2613831,-0.21,-7.9
201712,182075,2613831,2.59,-7.4
201801,182075,2613831,3.4,-7.2
201802,182075,2613831,0.68,-8
201803,182075,2613831,-2.75,-9.3
201804,182075,2613831,-4.6,-10.2
201805,182075,2613831,-7.12,-11.1
201806,182075,2613831,-5.34,-12.2
201807,182075,2613831,-0.26,-11
201808,182075,2613831,-0.61,-11
201809,182075,2613831,3.33,-10.2
201810,182075,2613831,-0.63,-11.2
201811,182075,2613831,0.19,-11.3
201812,182075,2613831,1.73,-11.1
201901,182075,2613831,0.64,-11.4
201902,182075,2613831,-4.08,-13
201903,182075,2613831,-1.98,-12.3
201904,182075,2613831,-4.47,-13.5
201905,182075,2613831,-3.71,-13.5
201906,182075,2613831,0.03,-12.7
201907,182075,2613831,2.99,-12.1
201908,182075,2613831,4.52,-11.6
201909,182075,2613831,6.71,-11.1
201910,182075,2613831,2.38,-12.1
201911,182075,2613831,0.93,-12.6
201912,182075,2613831,4.05,-12.1
202001,182075,2613831,2.99,-12.5
202002,182075,2613831,0.67,-13
202003,182075,2613831,-2.28,-14
202004,182075,2613831,-3.03,-14.4
202005,182075,2613831,-6.18,-15.9
202006,182075,2613831,-1.76,-15
202007,182075,2613831,0.22,-14.6
202008,182075,2613831,0.11,-14.7
202009,182075,2613831,2.48,-14.2
202010,182075,2613831,-1.66,-15.2
202011,182075,2613831,-1.8,-15.5
202012,182075,2613831,1.48,-14.9
