Time,X,Y,Original,Trend,Seasonal,Residual
201501,167842,2604974,0.3,-1.546066918,1.868731168,-0.02266425
201502,167842,2604974,-0.2,-1.657376979,1.423363908,0.034013071
201503,167842,2604974,-2.4,-1.7679788,-0.667776331,0.035755131
201504,167842,2604974,-4.4,-1.877758412,-2.531813935,0.009572347
201505,167842,2604974,-5.4,-1.987033986,-3.374780608,-0.038185406
201506,167842,2604974,-3.8,-2.096873851,-1.610598455,-0.092527693
201507,167842,2604974,-4.3,-2.209283418,-2.096639976,0.005923395
201508,167842,2604974,-1.9,-2.317355924,0.392309118,0.025046806
201509,167842,2604974,-1,-2.413974874,1.31924474,0.094730134
201510,167842,2604974,-0.6,-2.498468149,1.968811504,-0.070343355
201511,167842,2604974,-1.1,-2.578493779,1.604425785,-0.125932006
201512,167842,2604974,-1,-2.65456209,1.703753428,-0.049191339
201601,167842,2604974,-0.8,-2.693643912,1.91925676,-0.025612848
201602,167842,2604974,-2,-2.641012282,0.697095416,-0.056083134
201603,167842,2604974,-2.5,-2.583215562,-0.701833789,0.785049351
201604,167842,2604974,-2,-2.597131504,-2.260853018,2.857984522
201605,167842,2604974,-3.4,-2.612785472,-3.121251238,2.33403671
201606,167842,2604974,-3.5,-2.594151212,-1.254728522,0.348879733
201607,167842,2604974,-2.8,-2.543687295,-1.688997474,1.432684768
201608,167842,2604974,-2.4,-2.570096613,0.297135338,-0.127038725
201609,167842,2604974,-1.4,-2.641111059,1.319268393,-0.078157334
201610,167842,2604974,-0.9,-2.742616483,1.75453025,0.088086233
201611,167842,2604974,-1.2,-2.873919794,1.429807099,0.244112694
201612,167842,2604974,-0.8,-3.017328931,1.603564453,0.613764478
201701,167842,2604974,-1,-3.178776357,1.949329905,0.229446452
201702,167842,2604974,-3.4,-3.371279285,-0.02232621,-0.006394505
201703,167842,2604974,-4.5,-3.591928449,-0.745880802,-0.162190749
201704,167842,2604974,-6.6,-3.833292416,-2.002872086,-0.763835498
201705,167842,2604974,-6.6,-4.087820145,-2.889507042,0.377327187
201706,167842,2604974,-5.4,-4.344529245,-0.960024926,-0.095445829
201707,167842,2604974,-5,-4.596082188,-1.313132856,0.909215044
201708,167842,2604974,-4.5,-4.846102012,0.148674061,0.197427952
201709,167842,2604974,-4,-5.110974708,1.29984772,-0.188873011
201710,167842,2604974,-4.6,-5.374937133,1.495901368,-0.720964235
201711,167842,2604974,-4.5,-5.617117978,1.203570312,-0.086452334
201712,167842,2604974,-4.3,-5.842515259,1.446208259,0.096307
201801,167842,2604974,-4.3,-6.063798294,1.953789384,-0.189991091
201802,167842,2604974,-4.2,-6.27698279,0.356054141,1.72092865
201803,167842,2604974,-7,-6.49272144,-0.842681544,0.335402985
201804,167842,2604974,-8.5,-6.713814958,-1.786053097,-0.000131944
201805,167842,2604974,-9.8,-6.931864847,-2.808322575,-0.059812577
201806,167842,2604974,-10,-7.146052255,-1.175777428,-1.678170317
201807,167842,2604974,-8.3,-7.354964765,-0.954949804,0.009914569
201808,167842,2604974,-7.7,-7.547832449,0.146542767,-0.298710318
201809,167842,2604974,-6.4,-7.722308314,1.384889317,-0.062581003
201810,167842,2604974,-6.7,-7.868615091,1.221087694,-0.052472603
201811,167842,2604974,-7,-7.987315808,0.96179737,0.025518438
201812,167842,2604974,-6.8,-8.081699566,1.237095703,0.044603863
201901,167842,2604974,-6.8,-8.164115438,2.008077288,-0.643961851
201902,167842,2604974,-8.6,-8.244463316,0.558322717,-0.913859402
201903,167842,2604974,-9.4,-8.325231751,-0.832809505,-0.241958745
201904,167842,2604974,-9.8,-8.294142872,-1.537868105,0.032010977
201905,167842,2604974,-8.9,-8.04807884,-2.940927065,2.089005905
201906,167842,2604974,-7.9,-7.894010842,-1.279365448,1.27337629
201907,167842,2604974,-6.9,-7.766625405,-0.790977997,1.657603402
201908,167842,2604974,-6.2,-7.622593957,0.209690892,1.212903065
201909,167842,2604974,-5.5,-7.335059171,1.528725794,0.306333378
201910,167842,2604974,-6.3,-7.310725211,0.939664871,0.07106034
201911,167842,2604974,-6.9,-7.493344367,0.809875746,-0.216531379
201912,167842,2604974,-6.8,-7.661645685,0.959208864,-0.09756318
202001,167842,2604974,-5.7,-7.825987602,2.076727405,0.049260197
202002,167842,2604974,-7.2,-7.986146351,0.769903231,0.01624312
202003,167842,2604974,-8.9,-8.138880625,-0.823390517,0.062271142
202004,167842,2604974,-9.6,-8.287684568,-1.28810095,-0.024214482
202005,167842,2604974,-11.5,-8.444739736,-3.060072079,0.004811815
202006,167842,2604974,-10,-8.607289565,-1.38017258,-0.012537856
202007,167842,2604974,-9.4,-8.759280093,-0.626178038,-0.01454187
202008,167842,2604974,-8.6,-8.908174096,0.268920099,0.039253997
202009,167842,2604974,-7.5,-9.057082194,1.683898829,-0.126816635
202010,167842,2604974,-8.6,-9.205920875,0.659365892,-0.053445017
202011,167842,2604974,-8.6,-9.354088873,0.66156322,0.092525653
202012,167842,2604974,-8.8,-9.501015869,0.678345122,0.022670747
