Time,X,Y,Original,Trend,Seasonal,Residual
201501,163506,2614756,0,-0.695652942,0.699297522,-0.00364458
201502,163506,2614756,-0.2,-0.666824854,0.470269324,-0.00344447
201503,163506,2614756,-0.4,-0.637995171,0.229489209,0.008505961
201504,163506,2614756,-1.1,-0.609095195,-0.495684493,0.004779688
201505,163506,2614756,-1.6,-0.580089716,-1.024439632,0.004529348
201506,163506,2614756,-0.8,-0.551037553,-0.236753032,-0.012209414
201507,163506,2614756,-1.2,-0.522378911,-0.662249795,-0.015371295
201508,163506,2614756,-0.3,-0.493762647,0.160779136,0.032983511
201509,163506,2614756,-0.1,-0.464758444,0.392058782,-0.027300338
201510,163506,2614756,0,-0.435428452,0.428761675,0.006666777
201511,163506,2614756,-0.3,-0.406118299,0.088579702,0.017538597
201512,163506,2614756,-0.4,-0.377107173,-0.006884518,-0.016008309
201601,163506,2614756,-0.1,-0.347870003,0.592996891,-0.345126888
201602,163506,2614756,0.1,-0.356695977,0.415627295,0.041068682
201603,163506,2614756,0,-0.407589708,0.105279108,0.3023106
201604,163506,2614756,0.2,-0.437793553,-0.471366836,1.109160389
201605,163506,2614756,-0.3,-0.460010232,-0.997793621,1.157803853
201606,163506,2614756,-0.3,-0.496129809,-0.113047465,0.309177274
201607,163506,2614756,-1,-0.541183338,-0.490295809,0.031479147
201608,163506,2614756,-0.4,-0.587583335,0.261454097,-0.073870762
201609,163506,2614756,-0.1,-0.64944426,0.497954615,0.051489645
201610,163506,2614756,0.2,-0.720337219,0.296255941,0.624081278
201611,163506,2614756,-0.4,-0.79181102,-0.02890666,0.42071768
201612,163506,2614756,-0.1,-0.860737565,-0.027988516,0.788726081
201701,163506,2614756,-0.4,-0.928364197,0.485392746,0.042971451
201702,163506,2614756,-0.7,-1.004035733,0.364329178,-0.060293445
201703,163506,2614756,-1.1,-1.084005852,-0.017681747,0.001687599
201704,163506,2614756,-1.6,-1.170355674,-0.445525152,0.015880826
201705,163506,2614756,-1.9,-1.260685486,-0.971899441,0.332584927
201706,163506,2614756,-1.3,-1.359829529,-0.000176575,0.060006104
201707,163506,2614756,-1.5,-1.478799475,-0.320648003,0.299447478
201708,163506,2614756,-1.2,-1.597296525,0.373083327,0.024213198
201709,163506,2614756,-1.4,-1.717349511,0.601339077,-0.283989566
201710,163506,2614756,-2.2,-1.846934094,0.163259026,-0.516324931
201711,163506,2614756,-2.2,-1.980425542,-0.144075832,-0.075498626
201712,163506,2614756,-2.1,-2.11181745,-0.047265506,0.059082956
201801,163506,2614756,-1.9,-2.233988895,0.3628758,-0.028886905
201802,163506,2614756,-2,-2.337074208,0.347882293,-0.010808085
201803,163506,2614756,-2.6,-2.422236207,-0.09820329,-0.079560503
201804,163506,2614756,-3,-2.495375446,-0.394847917,-0.109776637
201805,163506,2614756,-3.5,-2.55248817,-0.940327946,-0.007183884
201806,163506,2614756,-3.4,-2.597429051,0.070978393,-0.873549341
201807,163506,2614756,-2.8,-2.631912546,-0.152718132,-0.015369322
201808,163506,2614756,-2.9,-2.656796231,0.35775914,-0.600962909
201809,163506,2614756,-2,-2.676926522,0.70819598,-0.031269459
201810,163506,2614756,-2.7,-2.693400036,0.016047222,-0.022647186
201811,163506,2614756,-2.9,-2.696221427,-0.222139081,0.018360508
201812,163506,2614756,-2.8,-2.686298724,-0.087377556,-0.026323721
201901,182075,2613831,-2.9,-2.669935682,0.224970479,-0.455034797
201902,182075,2613831,-2.9,-2.649863525,0.35443741,-0.604573884
201903,182075,2613831,-2.8,-2.629056962,-0.106183275,-0.064759763
201904,182075,2613831,-2.9,-2.605783308,-0.332820229,0.038603537
201905,182075,2613831,-2.7,-2.588399111,-0.869152176,0.757551287
201906,182075,2613831,-2.5,-2.598925385,0.045154213,0.053771172
201907,182075,2613831,-2.2,-2.61640537,0.002526302,0.413879068
201908,182075,2613831,-1.8,-2.641762567,0.351304842,0.490457725
201909,182075,2613831,-1.6,-2.670151019,0.807302315,0.262848704
201910,182075,2613831,-2.7,-2.709071289,-0.030444726,0.039516015
201911,182075,2613831,-3.3,-2.752891077,-0.270120225,-0.276988698
201912,182075,2613831,-3,-2.812901289,-0.175080962,-0.012017749
202001,182075,2613831,-2.8,-2.884535904,0.079273244,0.00526266
202002,182075,2613831,-2.6,-2.96026457,0.354831644,0.005432926
202003,182075,2613831,-3.1,-3.03843546,-0.113195779,0.051631239
202004,182075,2613831,-3.4,-3.117893789,-0.27212636,-0.009979852
202005,182075,2613831,-4,-3.197897091,-0.802836633,0.000733725
202006,182075,2613831,-3.3,-3.279409311,0.012119225,-0.032709914
202007,182075,2613831,-3.2,-3.359939511,0.155825813,0.004113698
202008,182075,2613831,-3.1,-3.439473707,0.342409016,-0.002935309
202009,182075,2613831,-2.6,-3.518603879,0.908707929,0.00989595
202010,182075,2613831,-3.7,-3.597434594,-0.086482193,-0.016083214
202011,182075,2613831,-4,-3.67603929,-0.321026389,-0.002934321
202012,182075,2613831,-4,-3.754402263,-0.260880324,0.015282587
