Time,X,Y,Original,Trend,Seasonal,Residual
201501,173088,2608157,0,-2.343538823,2.342161913,0.00137691
201502,173088,2608157,-1.1,-2.497791297,1.410594918,-0.01280362
201503,173088,2608157,-3,-2.651290594,-0.389890866,0.04118146
201504,173088,2608157,-5,-2.803668874,-2.228481657,0.032150531
201505,173088,2608157,-6,-2.954790862,-3.036973074,-0.008236064
201506,173088,2608157,-5.5,-3.105196519,-2.307455061,-0.08734842
201507,173088,2608157,-5.4,-3.256583156,-2.088356096,-0.055060747
201508,173088,2608157,-3.6,-3.393532713,-0.175060435,-0.031406852
201509,173088,2608157,-2.5,-3.515169264,0.927666262,0.087503001
201510,173088,2608157,-2,-3.620506415,1.755778484,-0.135272069
201511,173088,2608157,-2.1,-3.715662253,1.700682226,-0.085019974
201512,173088,2608157,-1.7,-3.803206355,2.071988489,0.031217866
201601,173088,2608157,-1.7,-3.875553208,2.213932991,-0.038379783
201602,173088,2608157,-2.9,-3.921950545,0.999912791,0.022037754
201603,173088,2608157,-3.2,-3.869567866,-0.509315273,1.178883139
201604,173088,2608157,-3.1,-3.823764796,-2.045450429,2.769215225
201605,173088,2608157,-4.7,-3.839521098,-2.919409275,2.058930373
201606,173088,2608157,-5,-3.843245045,-1.999756007,0.843001052
201607,173088,2608157,-4.3,-3.765945579,-1.558459069,1.024404648
201608,173088,2608157,-3.7,-3.697013715,-0.048228533,0.045242248
201609,173088,2608157,-3.1,-3.873122317,0.959612379,-0.186490062
201610,173088,2608157,-2.3,-4.130692118,1.591832797,0.238859322
201611,173088,2608157,-2.7,-4.425504011,1.498421699,0.227082312
201612,173088,2608157,-2.2,-4.735870547,1.801798171,0.734072375
201701,173088,2608157,-2.9,-5.045680787,2.0815825,0.064098287
201702,173088,2608157,-4.8,-5.352118747,0.584222815,-0.032104069
201703,173088,2608157,-6.5,-5.665050565,-0.625242016,-0.209707419
201704,173088,2608157,-8.3,-5.974141762,-1.864420152,-0.461438086
201705,173088,2608157,-9.1,-6.274997742,-2.810689252,-0.014313006
201706,173088,2608157,-8,-6.573007775,-1.751089595,0.32409737
201707,173088,2608157,-7.8,-6.874367673,-1.072930177,0.14729785
201708,173088,2608157,-7.2,-7.186808961,0.06818614,-0.081377179
201709,173088,2608157,-6.5,-7.510121778,0.98658681,0.023534967
201710,173088,2608157,-7.1,-7.834735434,1.420695954,-0.685960521
201711,173088,2608157,-7.1,-8.131560358,1.283231238,-0.25167088
201712,173088,2608157,-7,-8.400473297,1.503520814,-0.103047517
201801,173088,2608157,-6.8,-8.657803148,1.917133925,-0.059330777
201802,173088,2608157,-7,-8.891330654,0.629059923,1.262270731
201803,173088,2608157,-9.7,-9.0967145,-0.67520515,0.07191965
201804,173088,2608157,-10.9,-9.335832052,-1.698901452,0.134733503
201805,173088,2608157,-12.4,-9.700007113,-2.775541428,0.07554854
201806,173088,2608157,-13.9,-10.07677876,-1.618753481,-2.204467763
201807,173088,2608157,-12.4,-10.40869278,-0.74904128,-1.242265941
201808,173088,2608157,-11.6,-10.72846082,0.123758212,-0.995297392
201809,173088,2608157,-10.2,-11.07956474,1.130308472,-0.250743734
201810,173088,2608157,-10.5,-11.43841832,1.254464793,-0.316046473
201811,173088,2608157,-10.5,-11.58596853,1.100893039,-0.014924507
201812,173088,2608157,-10.3,-11.53683752,1.283740096,-0.046902572
201901,173088,2608157,-10.5,-11.39407818,1.76197163,-0.867893451
201902,173088,2608157,-12.7,-11.30921774,0.601057252,-1.991839512
201903,173088,2608157,-13.3,-11.22767171,-0.604414042,-1.467914246
201904,173088,2608157,-14,-11.13164574,-1.422446634,-1.445907628
201905,173088,2608157,-13.7,-10.98110217,-2.847702816,0.128804987
201906,173088,2608157,-12.8,-10.91853561,-1.706928303,-0.174536088
201907,173088,2608157,-11.5,-11.01353107,-0.648808684,0.162339753
201908,173088,2608157,-10.8,-11.15678956,0.153930923,0.202858634
201909,173088,2608157,-9.7,-11.3228428,1.298330071,0.32451273
201910,173088,2608157,-10.3,-11.50547298,1.151810408,0.05366257
201911,173088,2608157,-10.8,-11.71633793,1.061725035,-0.145387103
201912,173088,2608157,-10.7,-11.96299376,1.159011724,0.10398204
202001,173088,2608157,-10.6,-12.22700867,1.607808957,0.019199715
202002,173088,2608157,-11.9,-12.48936344,0.570233613,0.019129825
202003,173088,2608157,-13.3,-12.74786167,-0.540895578,-0.01124275
202004,173088,2608157,-14.2,-13.00892267,-1.171784109,-0.019293226
202005,173088,2608157,-16.3,-13.27132219,-2.940349772,-0.088328037
202006,173088,2608157,-15.2,-13.52332271,-1.787524784,0.110847494
202007,173088,2608157,-14.4,-13.75127481,-0.565426226,-0.08329896
202008,173088,2608157,-13.9,-13.98069329,0.183336128,-0.102642836
202009,173088,2608157,-12.8,-14.21081621,1.471578958,-0.060762749
202010,173088,2608157,-13.3,-14.43997816,1.104581469,0.03539669
202011,173088,2608157,-13.5,-14.66734549,1.037630534,0.129714953
202012,173088,2608157,-13.9,-14.8928313,1.02751211,-0.034680812
