Time,X,Y,Original,Trend,Seasonal,Residual
201501,183652,2617397,0.5,-2.16673864,2.348800578,0.317938062
201502,183652,2617397,-2.1,-2.553702803,0.477283892,-0.023581089
201503,183652,2617397,-3.7,-2.935139819,-0.659787872,-0.105072308
201504,183652,2617397,-5.2,-3.312210373,-1.842597415,-0.045192212
201505,183652,2617397,-6.2,-3.685900079,-2.244887392,-0.269212529
201506,183652,2617397,-5.4,-4.056660076,-1.370730042,0.027390118
201507,183652,2617397,-5.3,-4.412573245,-0.582300241,-0.305126515
201508,183652,2617397,-4.7,-4.718924665,-0.060833382,0.079758047
201509,183652,2617397,-4.8,-4.993909606,0.156199318,0.037710289
201510,183652,2617397,-3.9,-5.21757382,1.439741622,-0.122167802
201511,183652,2617397,-4.9,-5.390957877,0.677564641,-0.186606764
201512,183652,2617397,-3.9,-5.518536654,1.916225252,-0.297688598
201601,183652,2617397,-4,-5.59641013,1.933479887,-0.337069756
201602,183652,2617397,-5.6,-5.663381304,0.009397682,0.053983622
201603,183652,2617397,-5.9,-5.74635889,-0.495905462,0.342264352
201604,183652,2617397,-6.1,-5.858466611,-1.789334179,1.54780079
201605,183652,2617397,-7.5,-6.001188073,-2.046952642,0.548140715
201606,183652,2617397,-7.4,-6.177381041,-1.289410475,0.066791516
201607,183652,2617397,-6.4,-6.409848434,-0.240797402,0.250645836
201608,183652,2617397,-7,-6.714423489,0.052078375,-0.337654887
201609,183652,2617397,-6.6,-7.091861986,0.560572313,-0.068710327
201610,183652,2617397,-6.1,-7.519428335,1.019743635,0.3996847
201611,183652,2617397,-7.1,-7.972670977,0.681458342,0.191212635
201612,183652,2617397,-6,-8.430210671,1.802670284,0.627540387
201701,183652,2617397,-7.8,-8.888456802,1.544673487,-0.456216685
201702,183652,2617397,-9.9,-9.36359286,-0.476692443,-0.059714696
201703,183652,2617397,-10.9,-9.830456668,-0.318553415,-0.750989917
201704,183652,2617397,-11.9,-10.24921693,-1.787819261,0.137036195
201705,183652,2617397,-12.6,-10.62102676,-1.86125992,-0.117713321
201706,183652,2617397,-12.5,-10.98185408,-1.168171183,-0.349974733
201707,183652,2617397,-10.9,-11.35222286,0.042196682,0.410026174
201708,183652,2617397,-11,-11.72068184,0.113620639,0.607061201
201709,183652,2617397,-11.2,-12.07963647,0.930914242,-0.05127777
201710,183652,2617397,-12.4,-12.44088713,0.59338299,-0.552495855
201711,183652,2617397,-12.2,-12.82693567,0.606764778,0.020170888
201712,183652,2617397,-11.7,-13.24337362,1.645024385,-0.10165076
201801,183652,2617397,-11.9,-13.70008846,1.271848126,0.528240334
201802,183652,2617397,-12.6,-14.19399813,-0.120265171,1.714263302
201803,183652,2617397,-14.8,-14.76534065,-0.3639455,0.329286145
201804,183652,2617397,-15.8,-15.36601575,-1.838122037,1.404137791
201805,183652,2617397,-17.8,-15.95767492,-1.861338621,0.01901354
201806,183652,2617397,-20.3,-16.57680615,-0.962244298,-2.760949552
201807,183652,2617397,-17.4,-17.17055651,0.171336952,-0.400780445
201808,183652,2617397,-18.1,-17.71432388,0.245756438,-0.631432561
201809,183652,2617397,-16.9,-18.18560444,1.227774565,0.057829878
201810,183652,2617397,-18.5,-18.59098838,0.2168955,-0.125907116
201811,183652,2617397,-18.3,-18.92790159,0.394982084,0.232919507
201812,183652,2617397,-17.8,-19.1858594,1.367467977,0.018391422
201901,183652,2617397,-18.7,-19.34850517,1.219000957,-0.570495789
201902,183652,2617397,-21,-19.48071119,0.098916449,-1.618205259
201903,183652,2617397,-21.5,-19.59982031,-0.414212283,-1.485967406
201904,183652,2617397,-22,-19.70709695,-1.810157757,-0.482745292
201905,183652,2617397,-21.6,-19.7737195,-1.896359671,0.070079175
201906,183652,2617397,-20.3,-19.75472812,-0.66328409,0.118012211
201907,183652,2617397,-19.4,-19.77518522,0.201993476,0.173191742
201908,183652,2617397,-19.3,-19.89479434,0.327464063,0.267330276
201909,183652,2617397,-18.1,-20.0626343,1.365266039,0.597368261
201910,183652,2617397,-20,-20.26913207,-0.042425991,0.311558065
201911,183652,2617397,-20.8,-20.51849172,0.216755852,-0.498264135
201912,183652,2617397,-19.8,-20.80799436,1.109435977,-0.10144162
202001,183652,2617397,-19.8,-21.12729919,1.152994476,0.174304712
202002,183652,2617397,-21.1,-21.45335898,0.320049917,0.033309067
202003,183652,2617397,-22.3,-21.77286879,-0.461031122,-0.066100086
202004,183652,2617397,-23.6,-22.09834325,-1.772908317,0.271251569
202005,183652,2617397,-24.4,-22.44793412,-1.925436598,-0.026629286
202006,183652,2617397,-23.2,-22.80763984,-0.348822083,-0.043538078
202007,183652,2617397,-22.9,-23.14047589,0.244560955,-0.004085062
202008,183652,2617397,-23.1,-23.46505658,0.414562832,-0.049506251
202009,183652,2617397,-22.6,-23.79041404,1.495543935,-0.3051299
202010,183652,2617397,-24.5,-24.11542452,-0.275561876,-0.1090136
202011,183652,2617397,-24.2,-24.43800645,0.014838668,0.223167784
202012,183652,2617397,-23.8,-24.75649591,0.858964046,0.097531861
