Time,X,Y,Original,Trend,Seasonal,Residual
201501,171150,2629140,0.1,-0.013122157,0.115644328,-0.002522171
201502,171150,2629140,-0.2,0.010349843,-0.136132734,-0.074217109
201503,171150,2629140,-0.1,0.032765668,-0.160965208,0.02819954
201504,171150,2629140,-0.3,0.054409583,-0.395025417,0.040615834
201505,171150,2629140,-0.8,0.075739315,-0.8721354,-0.003603915
201506,171150,2629140,0.2,0.097354801,0.016051106,0.086594093
201507,171150,2629140,0,0.118621583,-0.094621589,-0.023999994
201508,171150,2629140,0.8,0.133905025,0.671572294,-0.005477319
201509,171150,2629140,0.7,0.15073982,0.594904793,-0.045644613
201510,171150,2629140,0.7,0.173399562,0.559955834,-0.033355396
201511,171150,2629140,0,0.203594629,-0.233520468,0.029925839
201512,171150,2629140,0,0.244487111,-0.163303645,-0.081183466
201601,171150,2629140,0.4,0.278944173,0.134743408,-0.013687581
201602,171150,2629140,0.4,0.272113493,-0.017461191,0.145347698
201603,171150,2629140,0.6,0.27493954,-0.138856255,0.463916715
201604,171150,2629140,0.9,0.288452671,-0.497663073,1.109210401
201605,171150,2629140,0.3,0.306385115,-0.791528376,0.78514326
201606,171150,2629140,0.3,0.310348145,0.11967963,-0.130027775
201607,171150,2629140,0.3,0.299454518,-0.049689853,0.050235335
201608,171150,2629140,-0.1,0.30629814,0.621993597,-1.028291737
201609,171150,2629140,0.9,0.306350585,0.50547104,0.088178375
201610,171150,2629140,0.7,0.292999582,0.335586254,0.071414164
201611,171150,2629140,0,0.250935061,-0.261513169,0.010578108
201612,171150,2629140,0.2,0.172921863,-0.055744347,0.082822485
201701,171150,2629140,0.3,0.076232178,0.150830053,0.07293777
201702,171150,2629140,-0.5,-0.02425321,0.075025764,-0.550772554
201703,171150,2629140,-0.3,-0.127370718,-0.114897867,-0.057731416
201704,171150,2629140,-0.9,-0.227465438,-0.596015209,-0.076519353
201705,171150,2629140,-1,-0.323902877,-0.711827777,0.035730654
201706,171150,2629140,0.8,-0.414400835,0.247195579,0.967205256
201707,171150,2629140,0.7,-0.513992681,-0.007064536,1.221057218
201708,171150,2629140,0,-0.602010298,0.565081428,0.036928869
201709,171150,2629140,-1.1,-0.68559827,0.412071086,-0.826472816
201710,171150,2629140,-1.6,-0.776139302,0.116438798,-0.940299496
201711,171150,2629140,-1.4,-0.867005089,-0.284326272,-0.248668639
201712,171150,2629140,-0.8,-0.954479034,0.043727781,0.110751253
201801,171150,2629140,-0.9,-1.033983795,0.170523042,-0.036539246
201802,171150,2629140,-2.3,-1.090907362,0.173038924,-1.382131562
201803,171150,2629140,-1.2,-1.137536572,-0.051546658,-0.01091677
201804,171150,2629140,-1.9,-1.185208905,-0.594040783,-0.120750312
201805,171150,2629140,-1.9,-1.235850826,-0.748536412,0.084387238
201806,171150,2629140,-2.3,-1.280984224,0.38617009,-1.405185866
201807,171150,2629140,-1.3,-1.315854941,0.003620746,0.012234195
201808,171150,2629140,-1.8,-1.346983371,0.449572875,-0.902589504
201809,171150,2629140,-1.1,-1.379916177,0.330057458,-0.050141281
201810,171150,2629140,-1.6,-1.416312753,-0.097860026,-0.085827221
201811,171150,2629140,-1.6,-1.440660913,-0.290500968,0.131161881
201812,171150,2629140,-1.4,-1.449362345,0.091676428,-0.042314082
201901,171150,2629140,-1.3,-1.444762319,0.201370814,-0.056608495
201902,171150,2629140,-1.3,-1.428679138,0.264421081,-0.135741943
201903,171150,2629140,-1.3,-1.403134693,0.060734881,0.042399812
201904,171150,2629140,-1.8,-1.368673558,-0.407456401,-0.023870042
201905,171150,2629140,-1.3,-1.336864079,-0.902099213,0.938963292
201906,171150,2629140,-0.7,-1.331993516,0.538143276,0.09385024
201907,171150,2629140,-0.7,-1.347729428,-0.006240716,0.653970144
201908,171150,2629140,-1,-1.368339584,0.238102869,0.130236716
201909,171150,2629140,-0.7,-1.395769817,0.261585117,0.4341847
201910,171150,2629140,-1.7,-1.449420003,-0.305491531,0.054911534
201911,171150,2629140,-1.9,-1.517643802,-0.241604874,-0.140751324
201912,171150,2629140,-1.5,-1.595470517,0.10061488,-0.005144363
202001,171150,2629140,-1.4,-1.677389829,0.232846463,0.044543366
202002,171150,2629140,-1.3,-1.760257926,0.384564632,0.075693294
202003,171150,2629140,-1.7,-1.843896795,0.170554795,-0.026658
202004,171150,2629140,-2.1,-1.929364004,-0.209591463,0.038955467
202005,171150,2629140,-3.1,-2.01693502,-1.060228245,-0.022836734
202006,171150,2629140,-1.5,-2.102467223,0.664669651,-0.062202428
202007,171150,2629140,-2.2,-2.173761722,-0.020668642,-0.005569636
202008,171150,2629140,-2.3,-2.244172429,0.020539138,-0.076366709
202009,171150,2629140,-2.1,-2.314138289,0.199481108,0.014657181
202010,171150,2629140,-2.9,-2.383013052,-0.502426756,-0.014560192
202011,171150,2629140,-2.6,-2.450610343,-0.196920313,0.047530656
202012,171150,2629140,-2.4,-2.516919265,0.10706646,0.009852805
