Time,X,Y,Original,Trend,Seasonal,Residual
201501,184142,2611723,0.9,-1.662402336,2.501384139,0.061018196
201502,184142,2611723,-1.2,-1.972258066,0.709077603,0.063180463
201503,184142,2611723,-3.2,-2.278895581,-0.899549659,-0.02155476
201504,184142,2611723,-4.4,-2.582271939,-1.821737021,0.00400896
201505,184142,2611723,-5.4,-2.882596435,-2.428057671,-0.089345893
201506,184142,2611723,-4.5,-3.180819641,-1.204486553,-0.114693807
201507,184142,2611723,-3.9,-3.475113284,-0.286426704,-0.138460012
201508,184142,2611723,-3.7,-3.72634314,-0.0278148,0.05415794
201509,184142,2611723,-3.7,-3.959142075,0.453195217,-0.194053143
201510,184142,2611723,-3.1,-4.174609206,1.08203696,-0.007427755
201511,184142,2611723,-3.8,-4.376755426,0.514141389,0.062614037
201512,184142,2611723,-3.3,-4.569255019,1.263266704,0.005988315
201601,184142,2611723,-2.7,-4.735983275,2.138525427,-0.102542152
201602,184142,2611723,-4.3,-4.828763342,0.603705721,-0.074942378
201603,184142,2611723,-4.5,-4.938457149,-0.689555276,1.128012425
201604,184142,2611723,-4.3,-5.096089444,-1.58747184,2.383561284
201605,184142,2611723,-6.2,-5.249613842,-2.250729233,1.300343075
201606,184142,2611723,-6.2,-5.374456039,-1.169392966,0.343849005
201607,184142,2611723,-5.4,-5.495917026,-0.037113205,0.133030231
201608,184142,2611723,-5.8,-5.8152329,0.173741802,-0.158508902
201609,184142,2611723,-5.4,-6.284673569,0.642545225,0.242128344
201610,184142,2611723,-4.9,-6.758374881,0.643304776,1.215070106
201611,184142,2611723,-5.8,-7.197036546,0.264461659,1.132574887
201612,184142,2611723,-4.8,-7.615881,1.103103193,1.712777807
201701,184142,2611723,-6.4,-8.053595549,1.78758917,-0.133993621
201702,184142,2611723,-8.4,-8.514843203,0.522681953,-0.40783875
201703,184142,2611723,-9.3,-8.81550751,-0.481671487,-0.002821003
201704,184142,2611723,-10.5,-9.054521015,-1.351358147,-0.094120838
201705,184142,2611723,-11,-9.290601042,-2.070267763,0.360868805
201706,184142,2611723,-10.8,-9.528184028,-1.120368277,-0.151447695
201707,184142,2611723,-9.5,-9.793273782,0.167359329,0.125914452
201708,184142,2611723,-9.6,-10.08692041,0.407717865,0.079202542
201709,184142,2611723,-9.4,-10.38726262,0.812277485,0.174985134
201710,184142,2611723,-11.1,-10.69448552,0.214478801,-0.619993282
201711,184142,2611723,-11.2,-11.01205622,0.029491636,-0.217435415
201712,184142,2611723,-10.4,-11.35419024,0.964177002,-0.009986761
201801,184142,2611723,-10,-11.71814134,1.529399532,0.188741809
201802,184142,2611723,-11.4,-12.09519481,0.544480859,0.150713954
201803,184142,2611723,-12.7,-12.49461595,-0.319803398,0.114419345
201804,184142,2611723,-13.9,-12.95600702,-1.086425682,0.142432702
201805,184142,2611723,-15.5,-13.48456829,-1.90756718,-0.107864529
201806,184142,2611723,-17.2,-13.98736576,-1.082120909,-2.130513335
201807,184142,2611723,-15.6,-14.47844342,0.300872246,-1.422428823
201808,184142,2611723,-15.9,-14.97133907,0.179734581,-1.108395508
201809,184142,2611723,-14.7,-15.47124971,0.952179816,-0.180930103
201810,184142,2611723,-16.1,-15.94438276,-0.156685234,0.001067989
201811,184142,2611723,-16.4,-16.31351374,-0.056917672,-0.029568585
201812,184142,2611723,-15.7,-16.51057221,0.926198945,-0.115626734
201901,184142,2611723,-15.7,-16.48744114,1.358114781,-0.570673643
201902,184142,2611723,-18,-16.52537931,0.625762589,-2.100383281
201903,184142,2611723,-17.9,-16.60717727,-0.230666665,-1.062156066
201904,184142,2611723,-19.1,-16.66556627,-0.840179994,-1.594253732
201905,184142,2611723,-18.6,-16.6744128,-1.997433219,0.071846017
201906,184142,2611723,-17.6,-16.71450774,-1.084293687,0.198801425
201907,184142,2611723,-16.6,-16.94075485,0.360381855,-0.019627009
201908,184142,2611723,-16.3,-17.20485214,0.008495702,0.896356435
201909,184142,2611723,-15.4,-17.47938336,1.063575416,1.015807941
201910,184142,2611723,-17,-17.76093873,-0.163724072,0.924662802
201911,184142,2611723,-17.9,-18.04612187,-0.015630349,0.161752222
201912,184142,2611723,-17.4,-18.33264758,0.988721152,-0.056073573
202001,184142,2611723,-17.5,-18.67878536,1.138513814,0.040271543
202002,184142,2611723,-18.4,-19.04244807,0.671972464,-0.029524391
202003,184142,2611723,-19.6,-19.39735923,-0.178531107,-0.024109661
202004,184142,2611723,-20.4,-19.74102653,-0.628721909,-0.030251561
202005,184142,2611723,-22.2,-20.07229476,-2.106165812,-0.021539432
202006,184142,2611723,-21.6,-20.39515822,-1.095799038,-0.109042739
202007,184142,2611723,-20.3,-20.70582846,0.398451692,0.007376769
202008,184142,2611723,-21.2,-21.01341381,-0.173915697,-0.012670496
202009,184142,2611723,-20.1,-21.31928038,1.166680897,0.052599483
202010,184142,2611723,-21.8,-21.62393526,-0.179328718,0.003263981
202011,184142,2611723,-22,-21.92788027,0.014441105,-0.086560831
202012,184142,2611723,-21.1,-22.23136008,1.06406724,0.067292845
