Time,X,Y,Original,Trend,Seasonal,Residual
201501,170721,2626356,2.3,1.03269559,1.042043156,0.225261254
201502,170721,2626356,1.03,1.308740523,-0.026702971,-0.252037551
201503,170721,2626356,1.8,1.585008071,0.198773214,0.016218715
201504,170721,2626356,-0.82,1.861045797,-2.681783956,0.000738159
201505,170721,2626356,-2.05,2.136992654,-3.994495229,-0.192497425
201506,170721,2626356,2.99,2.414477691,0.154484139,0.42103817
201507,170721,2626356,1.82,2.702263859,-0.556826895,-0.325436964
201508,170721,2626356,6.2,2.974869108,3.252962116,-0.027831224
201509,170721,2626356,5.48,3.249045914,1.804684371,0.426269714
201510,170721,2626356,5.81,3.54845199,2.671492278,-0.409944268
201511,170721,2626356,2.91,3.869294014,-1.179106739,0.219812725
201512,170721,2626356,2.82,4.213013145,-0.820561689,-0.572451456
201601,170721,2626356,5.61,4.547658249,1.164700302,-0.102358551
201602,170721,2626356,5.62,4.78738138,0.35108969,0.48152893
201603,170721,2626356,5.18,4.982676697,-0.153457043,0.350780346
201604,170721,2626356,6.12,5.13709088,-2.922474997,3.905384117
201605,170721,2626356,2.91,5.195885846,-3.650315175,1.36442933
201606,170721,2626356,4.9,5.198047263,0.294858288,-0.592905551
201607,170721,2626356,5.32,5.139249336,-0.33776471,0.518515375
201608,170721,2626356,3.46,5.023431076,2.949743987,-4.513175064
201609,170721,2626356,6.4,4.837960199,2.0599819,-0.497942099
201610,170721,2626356,7.14,4.608226162,1.656148792,0.875625046
201611,170721,2626356,2.95,4.329358685,-1.326032242,-0.053326444
201612,170721,2626356,4.5,4.001066017,-0.273351473,0.772285456
201701,170721,2626356,4.54,3.649003599,1.300975509,-0.409979109
201702,170721,2626356,1.57,3.292390899,0.63749642,-2.359887319
201703,170721,2626356,1.93,2.989840453,-0.445077287,-0.614763166
201704,170721,2626356,-0.18,2.753577054,-3.161872736,0.228295681
201705,170721,2626356,-1.35,2.559194465,-3.280160419,-0.629034046
201706,170721,2626356,5.94,2.440234775,0.523495658,2.976269566
201707,170721,2626356,2.41,2.356216709,-0.178960652,0.232743943
201708,170721,2626356,5.1,2.306195669,2.602240592,0.191563739
201709,170721,2626356,4.42,2.291109575,2.318657378,-0.189766953
201710,170721,2626356,-0.14,2.292937045,0.671565229,-3.104502274
201711,170721,2626356,0.17,2.253891999,-1.455677735,-0.628214263
201712,170721,2626356,2.82,2.180833386,0.240365377,0.398801237
201801,170721,2626356,4.19,2.148598854,1.58990361,0.451497536
201802,170721,2626356,-1.48,2.155952711,0.87350053,-4.50945324
201803,170721,2626356,1.33,2.155557304,-0.566768023,-0.258789281
201804,170721,2626356,-1.81,2.142666983,-3.199879819,-0.752787164
201805,170721,2626356,-0.56,2.152814437,-3.348987132,0.636172695
201806,170721,2626356,-1.73,2.194451071,0.891868698,-4.816319769
201807,170721,2626356,1.84,2.28308013,-0.1191373,-0.323942831
201808,170721,2626356,1.85,2.362428328,2.129718982,-2.64214731
201809,170721,2626356,5.49,2.403588419,2.555864798,0.530546783
201810,170721,2626356,1.62,2.40710135,-0.417353637,-0.369747713
201811,170721,2626356,1.57,2.43984638,-1.452408249,0.582561869
201812,170721,2626356,2.68,2.501597897,0.398011043,-0.21960894
201901,170721,2626356,3.84,2.570453394,2.162157502,-0.892610897
201902,170721,2626356,3.44,2.675470962,1.045328915,-0.280799877
201903,170721,2626356,2.9,2.824491064,-0.581648184,0.65715712
201904,170721,2626356,-0.03,3.00722935,-2.806785271,-0.230444079
201905,170721,2626356,2.56,3.209489267,-3.591828233,2.942338966
201906,170721,2626356,4.95,3.383086602,1.414601499,0.152311899
201907,170721,2626356,6.39,3.492628206,-0.015953391,2.913325186
201908,170721,2626356,5.08,3.566328656,1.443537305,0.07013404
201909,170721,2626356,6.74,3.627369565,2.514647178,0.597983257
201910,170721,2626356,2.15,3.632046498,-1.485946464,0.003899965
201911,170721,2626356,1.76,3.583508081,-1.193010344,-0.630497737
201912,170721,2626356,3.99,3.489205386,0.29678065,0.204013965
202001,170721,2626356,6.45,3.364511752,2.715277369,0.370210879
202002,170721,2626356,4.71,3.2234547,1.282512081,0.204033218
202003,170721,2626356,2.27,3.076179221,-0.551873035,-0.254306186
202004,170721,2626356,0.89,2.897487959,-2.339816278,0.332328319
202005,170721,2626356,-1.29,2.673556719,-3.840562592,-0.122994128
202006,170721,2626356,4.26,2.445394133,1.89267083,-0.078064963
202007,170721,2626356,2.46,2.255072538,0.078230535,0.126696927
202008,170721,2626356,2.79,2.066362351,0.74285454,-0.019216891
202009,170721,2626356,3.74,1.875493197,2.41201426,-0.547507457
202010,170721,2626356,-0.64,1.684508887,-2.448634334,0.124125446
202011,170721,2626356,0.81,1.496096987,-0.961924301,0.275827314
202012,170721,2626356,1.46,1.311291784,0.190521573,-0.041813357
