Time,X,Y,Original,Trend,Seasonal,Residual
201501,173088,2608157,3,-3.064059994,5.958945548,0.105114446
201502,173088,2608157,-2.14,-2.893272056,0.926058696,-0.17278664
201503,173088,2608157,-7.3,-2.722009631,-4.638016215,0.060025847
201504,173088,2608157,-9.65,-2.549969726,-7.232105689,0.132075415
201505,173088,2608157,-11.54,-2.376859033,-9.090580979,-0.072559988
201506,173088,2608157,-7.31,-2.203110614,-4.898791463,-0.208097923
201507,173088,2608157,-6.84,-2.028949568,-4.821865385,0.010814953
201508,173088,2608157,3.3,-1.836792861,4.968204354,0.168588507
201509,173088,2608157,2.26,-1.613256241,3.811690781,0.06156546
201510,173088,2608157,4.41,-1.356393524,6.295967177,-0.529573653
201511,173088,2608157,2.76,-1.083458806,3.918727423,-0.075268617
201512,173088,2608157,4.19,-0.785553352,4.946337157,0.029216195
201601,173088,2608157,5.13,-0.476067444,5.71392968,-0.107862236
201602,173088,2608157,0.4,-0.272329872,0.294182377,0.378147495
201603,173088,2608157,-0.14,-0.089870384,-4.704335461,4.654205845
201604,173088,2608157,1.06,0.001145049,-7.450592425,8.509447376
201605,173088,2608157,-4.78,-0.022776866,-9.094352907,4.337129774
201606,173088,2608157,-3.71,0.027189777,-4.021250379,0.284060602
201607,173088,2608157,-0.56,0.066284471,-3.461637009,2.835352538
201608,173088,2608157,1.47,0.012529622,4.325852197,-2.868381819
201609,173088,2608157,3.84,-0.228455687,4.492158388,-0.423702701
201610,173088,2608157,6.03,-0.576058292,5.544309552,1.06174874
201611,173088,2608157,4.82,-0.922906122,3.711627761,2.031278361
201612,173088,2608157,6.45,-1.336688999,4.82201186,2.964677139
201701,173088,2608157,3.43,-1.77151521,5.458375278,-0.256860068
201702,173088,2608157,-2.82,-2.222617986,-0.413490198,-0.183891817
201703,173088,2608157,-7.73,-2.659150396,-4.782730488,-0.288119116
201704,173088,2608157,-11.04,-2.895666726,-7.679232598,-0.465100676
201705,173088,2608157,-11.88,-2.994604921,-9.125956091,0.240561012
201706,173088,2608157,-3.79,-3.053592126,-3.24445044,2.508042567
201707,173088,2608157,-1.49,-3.106455872,-2.130318824,3.746774695
201708,173088,2608157,-0.05,-3.124517054,3.784045458,-0.709528405
201709,173088,2608157,2.74,-3.114126345,5.096575515,0.75755083
201710,173088,2608157,-0.74,-3.082240594,4.807388744,-2.46514815
201711,173088,2608157,-0.18,-2.954204532,3.463739617,-0.689535085
201712,173088,2608157,1.55,-2.855159862,4.626959586,-0.221799724
201801,173088,2608157,3.03,-2.809760217,4.963861569,0.875898648
201802,173088,2608157,0.96,-2.793532312,-0.138917888,3.892450199
201803,173088,2608157,-7.31,-2.807028321,-4.908542868,0.405571189
201804,173088,2608157,-10.5,-2.874697912,-7.663119374,0.037817286
201805,173088,2608157,-12.54,-3.02640716,-9.448294647,-0.065298193
201806,173088,2608157,-9.09,-3.210244838,-2.81733216,-3.062423002
201807,173088,2608157,-4.27,-3.305771299,-0.738547198,-0.225681503
201808,173088,2608157,-2.5,-3.329350291,3.433686294,-2.604336004
201809,173088,2608157,1.83,-3.334434484,5.645287339,-0.480852855
201810,173088,2608157,-0.13,-3.282537925,4.005399844,-0.852861919
201811,173088,2608157,0.73,-3.14927442,3.086087645,0.793186775
201812,173088,2608157,1.81,-2.98298402,4.429170073,0.363813946
201901,173088,2608157,1.42,-2.766575579,4.362180771,-0.175605192
201902,173088,2608157,-7.09,-2.43913555,-0.026118188,-4.624746262
201903,173088,2608157,-7.47,-2.018699344,-4.808778244,-0.642522412
201904,173088,2608157,-9.25,-1.576112183,-6.861997163,-0.811890654
201905,173088,2608157,-7.01,-1.17208324,-9.962303602,4.124386842
201906,173088,2608157,-2.86,-0.793131061,-2.630695696,0.563826757
201907,173088,2608157,1,-0.463055357,-0.065634957,1.528690314
201908,173088,2608157,4.12,-0.217480561,3.351468443,0.986012118
201909,173088,2608157,6.47,-0.1607792,5.946535858,0.684243341
201910,173088,2608157,3.17,-0.375636536,3.40102701,0.144609527
201911,173088,2608157,1.71,-0.68657725,2.833658268,-0.437081019
201912,173088,2608157,2.95,-1.044409263,4.355657475,-0.361248212
202001,173088,2608157,2.26,-1.413188359,3.723235278,-0.050046919
202002,173088,2608157,-1.62,-1.785263313,0.094954721,0.070308592
202003,173088,2608157,-6.56,-2.159083071,-4.707912585,0.306995656
202004,173088,2608157,-8.09,-2.544020321,-6.022299903,0.476320224
202005,173088,2608157,-13.36,-2.946341534,-10.46659817,0.052939705
202006,173088,2608157,-6.19,-3.35264283,-2.535998419,-0.301358752
202007,173088,2608157,-3.43,-3.708051827,0.519232609,-0.241180782
202008,173088,2608157,-1.23,-4.057118424,3.245042546,-0.417924122
202009,173088,2608157,1.6,-4.405234281,6.246091455,-0.240857174
202010,173088,2608157,-1.58,-4.747038937,3.019452853,0.147586084
202011,173088,2608157,-2.35,-5.079495575,2.559644154,0.16985142
202012,173088,2608157,-0.93,-5.401903487,4.272296994,0.199606493
