Time,X,Y,Original,Trend,Seasonal,Residual
201501,163506,2614756,1.69,0.398216747,1.279134865,0.012648388
201502,163506,2614756,1.97,0.649857281,1.392316355,-0.072173636
201503,163506,2614756,1.08,0.900979032,0.140685128,0.03833584
201504,163506,2614756,-1.11,1.151746965,-2.331471745,0.06972478
201505,163506,2614756,-2.18,1.402258775,-3.527397266,-0.054861509
201506,163506,2614756,0.38,1.652255092,-1.232939517,-0.039315574
201507,163506,2614756,-0.03,1.900583129,-1.986268324,0.055685195
201508,163506,2614756,2.86,2.135876237,0.656973493,0.06715027
201509,163506,2614756,4.71,2.364252767,2.322752458,0.022994775
201510,163506,2614756,5.03,2.589371318,2.422773154,0.017855528
201511,163506,2614756,3.39,2.807662342,0.572980823,0.009356835
201512,163506,2614756,3.28,3.022253989,0.233836481,0.02390953
201601,163506,2614756,4.31,3.19156763,1.237896808,-0.119464438
201602,163506,2614756,4.79,3.238535226,1.043932163,0.507532612
201603,163506,2614756,4.55,3.284297895,-0.062268499,1.327970604
201604,163506,2614756,5.02,3.339635799,-2.250098054,3.930462255
201605,163506,2614756,3.58,3.402174075,-3.312120448,3.489946373
201606,163506,2614756,2.69,3.458036468,-0.878183775,0.110147306
201607,163506,2614756,1.9,3.446145814,-1.479097813,-0.067048
201608,163506,2614756,4.13,3.414735812,0.838325185,-0.123060997
201609,163506,2614756,5.83,3.406100357,2.364470452,0.059429191
201610,163506,2614756,6.56,3.346070586,1.942287269,1.271642146
201611,163506,2614756,4.73,3.268781955,0.27688034,1.184337705
201612,163506,2614756,5.38,3.205438078,0.242006764,1.932555159
201701,163506,2614756,4.83,3.160425289,1.156866164,0.512708546
201702,163506,2614756,3.64,3.10764234,0.704719387,-0.172361727
201703,163506,2614756,2.68,2.990508659,-0.26904857,-0.041460088
201704,163506,2614756,0.56,2.849768885,-2.172429284,-0.117339601
201705,163506,2614756,0.1,2.69024273,-3.117874821,0.527632091
201706,163506,2614756,1.96,2.518993115,-0.550606656,-0.008386459
201707,163506,2614756,2.63,2.356689662,-0.974878818,1.248189156
201708,163506,2614756,3.59,2.211685097,1.092381998,0.285932905
201709,163506,2614756,4.16,2.062708674,2.436443718,-0.339152392
201710,163506,2614756,2.33,1.893294984,1.461646121,-1.024941105
201711,163506,2614756,1.71,1.740428663,-0.014702859,-0.015725804
201712,163506,2614756,1.84,1.633089244,0.264122393,-0.057211637
201801,163506,2614756,2.76,1.555345379,0.978087773,0.226566848
201802,163506,2614756,1.89,1.503307541,0.624031542,-0.237339082
201803,163506,2614756,1.03,1.50228675,-0.340195523,-0.132091227
201804,163506,2614756,-0.53,1.552710622,-1.927375283,-0.155335339
201805,163506,2614756,-1.54,1.667704193,-2.920089692,-0.287614501
201806,163506,2614756,-0.74,1.797237459,-0.606739181,-1.930498278
201807,163506,2614756,1.52,1.92650458,-0.549471232,0.142966652
201808,163506,2614756,2.04,2.067879391,0.991866224,-1.019745616
201809,163506,2614756,5.02,2.21826436,2.397205074,0.404530566
201810,163506,2614756,3.24,2.345707227,0.979850613,-0.08555784
201811,163506,2614756,2.17,2.421775397,-0.270025168,0.018249771
201812,163506,2614756,2.84,2.499812718,0.239986491,0.100200791
201901,182075,2613831,3.04,2.595070353,0.659319519,-0.214389872
201902,182075,2613831,2.98,2.706955404,0.897810108,-0.624765512
201903,182075,2613831,2.52,2.838861728,-0.208238345,-0.110623383
201904,182075,2613831,1.66,3.021089927,-1.521179948,0.16009002
201905,182075,2613831,2.58,3.145535278,-2.869486309,2.303951031
201906,182075,2613831,3.45,3.111016578,-0.620359749,0.959343171
201907,182075,2613831,4.92,3.139870752,-0.246076908,2.026206155
201908,182075,2613831,5.9,3.178734063,1.003438719,1.717827218
201909,182075,2613831,6.98,3.276996779,2.310087752,1.392915469
201910,182075,2613831,4.1,3.275281415,0.666060204,0.158658381
201911,182075,2613831,2.41,3.138353153,-0.4647083,-0.263644853
201912,182075,2613831,1.97,2.992478653,0.116572197,-1.13905085
202001,182075,2613831,3.14,2.825554171,0.271513165,0.042932664
202002,182075,2613831,4.05,2.64645619,1.166432062,0.237111748
202003,182075,2613831,2.49,2.461356796,-0.076850854,0.105494058
202004,182075,2613831,1.08,2.257892685,-1.123702397,-0.054190288
202005,182075,2613831,-0.73,2.020675422,-2.80599534,0.055319918
202006,182075,2613831,1.13,1.772181596,-0.641338573,-0.000843023
202007,182075,2613831,1.51,1.530535884,0.024157542,-0.044693426
202008,182075,2613831,2.29,1.290008434,1.002605237,-0.002613671
202009,182075,2613831,3.22,1.049222157,2.223260906,-0.052483063
202010,182075,2613831,1.06,0.808710598,0.31841321,-0.067123807
202011,182075,2613831,0.05,0.569012536,-0.656351469,0.137338933
202012,182075,2613831,0.3,0.33055034,-0.012410149,-0.018140191
